PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] IBM_1.raw.PG.Quantity,[2] IBM_2.raw.PG.Quantity,[3] IBM_3.raw.PG.Quantity,[4] IBM_4.raw.PG.Quantity,[5] IBM_5.raw.PG.Quantity,[6] IBM_6.raw.PG.Quantity,[7] IBM_7.raw.PG.Quantity,[8] IBM_8.raw.PG.Quantity,[9] IBM_9.raw.PG.Quantity,[10] IBM_10.raw.PG.Quantity,[11] IBM_11.raw.PG.Quantity,[12] IBM_12.raw.PG.Quantity,[13] IBM_13.raw.PG.Quantity,[14] IBM_14.raw.PG.Quantity,[15] IBM_15.raw.PG.Quantity,[16] IBM_16.raw.PG.Quantity,[17] IBM_17.raw.PG.Quantity,[18] IBM_CTRL_1.raw.PG.Quantity,[19] IBM_CTRL_2.raw.PG.Quantity,[20] IBM_CTRL_3.raw.PG.Quantity,[21] IBM_CTRL_4.raw.PG.Quantity
A0A075B6H7,IGKV3-7,Probable non-functional immunoglobulin kappa variable 3-7,8875512,1538004.125,2758800,2963363.5,954678.0625,732569.4375,7357037.5,4427595,4248532.5,2176451,2793033.25,7529647.5,707981.625,1034372.625,1771741.5,913081.75,836062.1875,2299967.75,391749.09375,1319206.75,1746820.125
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,4545.345703125,NaN,2250.1240234375,NaN,NaN,NaN,NaN,NaN,1203.2984619140625,NaN,NaN,3504.045166015625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,908151.25,2364.81884765625,8699.9150390625,113927.671875,NaN,NaN,34826.41015625,7344.5771484375,213765.078125,107973.2421875,450748.65625,1049900.125,NaN,72710.40625,NaN,NaN,78233.7578125,152060.15625,NaN,NaN,66917.125
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46,925821.3125,NaN,345511.6875,221717.109375,NaN,32521.904296875,251657.703125,154904.234375,133428.484375,97211.328125,237747.09375,798917.75,402113.21875,86385.078125,166930.109375,NaN,144148.59375,164632.71875,NaN,NaN,NaN
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,36996.40625,NaN,20535.087890625,14509.05078125,NaN,NaN,32418.78515625,1618.056640625,8091.2861328125,NaN,22908.619140625,168286.28125,NaN,NaN,13246.208984375,NaN,NaN,3222.243408203125,NaN,NaN,6877.076171875
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,324708.125,33734.2421875,53137.3984375,58684.41796875,NaN,NaN,41984.20703125,27348.52734375,108499.4140625,21586.169921875,67128.453125,201070.28125,NaN,NaN,60473.3515625,22990.6015625,59895.3125,NaN,NaN,25391.603515625,51827.1328125
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,932967,263961.1875,458362.375,466518.21875,129912.3515625,47894.40625,369990.46875,547494.25,1073059.125,209055.34375,367617.65625,528479.375,96373.4296875,187919.96875,258872.828125,75504.78125,194932.046875,258616.453125,72333.9140625,386481.28125,295407.90625
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,864980.875,23345.37890625,60057.98046875,65724.03125,27668.099609375,70707.5390625,170142.640625,193945.015625,246706.953125,45359.18359375,117776.765625,413938.15625,36128.0546875,NaN,142477.25,36077.59765625,NaN,274749.6875,209263.765625,39700.98046875,53109.0703125
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,42779.8515625,NaN,59256.59765625,25372.2890625,NaN,NaN,NaN,85814.4140625,84258.171875,NaN,16431.705078125,118557.0703125,40258.80859375,21041.6484375,NaN,NaN,NaN,88221.46875,NaN,NaN,19848.794921875
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,859911.125,10725.857421875,17885.76953125,16648.392578125,8168.41796875,NaN,30432.380859375,16181.669921875,54782.5859375,8114.7890625,33533.8828125,33359.8671875,NaN,NaN,NaN,NaN,NaN,35508.875,NaN,NaN,NaN
