ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0031462	GO:0031462	Cul2-RING ubiquitin ligase complex	3/27	11/5170	2.03901436465532e-05	0.00214096508288809	0.00193169781914715	ASB4/ZSWIM4/KLHDC3	3	go_cc
GO:0032982	GO:0032982	myosin filament	3/27	20/5170	0.000136525637361041	0.00691565512065536	0.00623968883066649	MYH1/MYH13/MYBPC2	3	go_cc
GO:0030016	GO:0030016	myofibril	6/27	172/5170	0.000205513287951314	0.00691565512065536	0.00623968883066649	PPP3CB/ALDOA/MYLK2/MYH1/MYH13/TNNC2	6	go_cc
GO:0043292	GO:0043292	contractile fiber	6/27	180/5170	0.000263453528405918	0.00691565512065536	0.00623968883066649	PPP3CB/ALDOA/MYLK2/MYH1/MYH13/TNNC2	6	go_cc
GO:0016459	GO:0016459	myosin complex	3/27	35/5170	0.00074392704372676	0.015622467918262	0.0140954597758755	MYH1/MYH16/MYH13	3	go_cc
GO:0030017	GO:0030017	sarcomere	5/27	158/5170	0.00117119769387406	0.0195457397878966	0.0176352539439669	PPP3CB/ALDOA/MYLK2/MYH1/TNNC2	5	go_cc
GO:0099512	GO:0099512	supramolecular fiber	8/27	444/5170	0.00142523221557718	0.0195457397878966	0.0176352539439669	PPP3CB/NEK7/ALDOA/MYLK2/MYH1/MYH13/TNNC2/MYBPC2	8	go_cc
GO:0099081	GO:0099081	supramolecular polymer	8/27	447/5170	0.00148919922193498	0.0195457397878966	0.0176352539439669	PPP3CB/NEK7/ALDOA/MYLK2/MYH1/MYH13/TNNC2/MYBPC2	8	go_cc
GO:0031461	GO:0031461	cullin-RING ubiquitin ligase complex	3/27	52/5170	0.00236774900849968	0.0276237384324963	0.0249236737736809	ASB4/ZSWIM4/KLHDC3	3	go_cc
GO:0005859	GO:0005859	muscle myosin complex	2/27	15/5170	0.00264497093904508	0.0277721948599733	0.0250576194225323	MYH1/MYH13	2	go_cc
GO:0016460	GO:0016460	myosin II complex	2/27	21/5170	0.00518881491021732	0.0495295968702563	0.0446883580784267	MYH1/MYH13	2	go_cc
GO:0031672	GO:0031672	A band	2/27	29/5170	0.00977730377880807	0.0855514080645706	0.0771892403590111	ALDOA/MYH1	2	go_cc
GO:0000151	GO:0000151	ubiquitin ligase complex	3/27	92/5170	0.0117115214158189	0.0945930575893069	0.0853471196294498	ASB4/ZSWIM4/KLHDC3	3	go_cc
GO:0015629	GO:0015629	actin cytoskeleton	5/27	293/5170	0.0162834348276033	0.122125761207024	0.110188656728142	ALDOA/MYH1/MYH16/MYH13/TNNC2	5	go_cc
GO:1990234	GO:1990234	transferase complex	4/27	244/5170	0.0361334348889323	0.252934044222526	0.228211167719573	ASB4/ZSWIM4/PFKFB1/KLHDC3	4	go_cc
GO:0005750	GO:0005750	mitochondrial respiratory chain complex III	1/27	10/5170	0.0510574015283225	0.315354538851404	0.284530410993748	UQCRC1	1	go_cc
GO:0045275	GO:0045275	respiratory chain complex III	1/27	10/5170	0.0510574015283225	0.315354538851404	0.284530410993748	UQCRC1	1	go_cc
GO:0140535	GO:0140535	intracellular protein-containing complex	4/27	299/5170	0.0673210977165862	0.392706403346753	0.354321566929401	PPP3CB/ASB4/ZSWIM4/KLHDC3	4	go_cc
GO:1990204	GO:1990204	oxidoreductase complex	2/27	93/5170	0.0840619940172872	0.440260848729732	0.39722783344036	UQCRC1/GPD1	2	go_cc
GO:0005865	GO:0005865	striated muscle thin filament	1/27	19/5170	0.0948552202685534	0.440260848729732	0.39722783344036	TNNC2	1	go_cc
GO:0005963	GO:0005963	magnesium-dependent protein serine/threonine phosphatase complex	1/27	21/5170	0.104320263406862	0.440260848729732	0.39722783344036	PPP3CB	1	go_cc
GO:0031430	GO:0031430	M band	1/27	21/5170	0.104320263406862	0.440260848729732	0.39722783344036	ALDOA	1	go_cc
GO:0036379	GO:0036379	myofilament	1/27	21/5170	0.104320263406862	0.440260848729732	0.39722783344036	TNNC2	1	go_cc
GO:0046930	GO:0046930	pore complex	1/27	21/5170	0.104320263406862	0.440260848729732	0.39722783344036	BCL2	1	go_cc
GO:0031674	GO:0031674	I band	2/27	106/5170	0.104975831638863	0.440260848729732	0.39722783344036	PPP3CB/ALDOA	2	go_cc
GO:0043209	GO:0043209	myelin sheath	1/27	22/5170	0.10901697206641	0.440260848729732	0.39722783344036	BCL2	1	go_cc
GO:0070069	GO:0070069	cytochrome complex	1/27	24/5170	0.118339342349482	0.449387801858891	0.405462678368924	UQCRC1	1	go_cc
GO:0005814	GO:0005814	centriole	1/27	25/5170	0.122965233868441	0.449387801858891	0.405462678368924	MYH16	1	go_cc
GO:0014704	GO:0014704	intercalated disc	1/27	26/5170	0.127567748676128	0.449387801858891	0.405462678368924	MYH1	1	go_cc
GO:0036464	GO:0036464	cytoplasmic ribonucleoprotein granule	2/27	124/5170	0.135983850623433	0.449387801858891	0.405462678368924	APOBEC3C/MYH1	2	go_cc
GO:0005796	GO:0005796	Golgi lumen	1/27	28/5170	0.136703102073691	0.449387801858891	0.405462678368924	MUC16	1	go_cc
GO:0016605	GO:0016605	PML body	1/27	29/5170	0.141236166298509	0.449387801858891	0.405462678368924	PARK7	1	go_cc
GO:0030315	GO:0030315	T-tubule	1/27	29/5170	0.141236166298509	0.449387801858891	0.405462678368924	PPP3CB	1	go_cc
GO:0045121	GO:0045121	membrane raft	2/27	133/5170	0.152203147895573	0.451941630487343	0.407766884650234	PARK7/PGK1	2	go_cc
GO:0098857	GO:0098857	membrane microdomain	2/27	134/5170	0.154030024287963	0.451941630487343	0.407766884650234	PARK7/PGK1	2	go_cc
GO:0035770	GO:0035770	ribonucleoprotein granule	2/27	136/5170	0.157697480493291	0.451941630487343	0.407766884650234	APOBEC3C/MYH1	2	go_cc
GO:0008287	GO:0008287	protein serine/threonine phosphatase complex	1/27	34/5170	0.163559828176372	0.451941630487343	0.407766884650234	PPP3CB	1	go_cc
GO:1903293	GO:1903293	phosphatase complex	1/27	34/5170	0.163559828176372	0.451941630487343	0.407766884650234	PPP3CB	1	go_cc
GO:0044291	GO:0044291	cell-cell contact zone	1/27	36/5170	0.172331911606179	0.463970531247406	0.418620028193148	MYH1	1	go_cc
GO:1904724	GO:1904724	tertiary granule lumen	1/27	39/5170	0.185324137088302	0.486475859856792	0.438925587840715	ALDOA	1	go_cc
GO:0000932	GO:0000932	P-body	1/27	44/5170	0.20654258243815	0.52895051600014	0.477248585864787	APOBEC3C	1	go_cc
GO:0031093	GO:0031093	platelet alpha granule lumen	1/27	47/5170	0.219017129483136	0.547542823707841	0.494023600337902	ALDOA	1	go_cc
GO:0005911	GO:0005911	cell-cell junction	2/27	176/5170	0.233860604470172	0.571054964403908	0.515237561868188	PARK7/MYH1	2	go_cc
GO:0005758	GO:0005758	mitochondrial intermembrane space	1/27	52/5170	0.239389473446872	0.571270334361853	0.515431880627235	PARK7	1	go_cc
GO:0000922	GO:0000922	spindle pole	1/27	56/5170	0.255317938914481	0.587913385301057	0.530448167188923	NEK7	1	go_cc
GO:0000785	GO:0000785	chromatin	2/27	190/5170	0.261253283034402	0.587913385301057	0.530448167188923	PARK7/KLHDC3	2	go_cc
GO:0031970	GO:0031970	organelle envelope lumen	1/27	58/5170	0.263161229610949	0.587913385301057	0.530448167188923	PARK7	1	go_cc
GO:0031091	GO:0031091	platelet alpha granule	1/27	61/5170	0.274777195832655	0.601075115883933	0.542323412827609	ALDOA	1	go_cc
GO:0098803	GO:0098803	respiratory chain complex	1/27	64/5170	0.286216720144399	0.613321543166569	0.553372820902168	UQCRC1	1	go_cc
GO:0005746	GO:0005746	mitochondrial respirasome	1/27	66/5170	0.293746321235752	0.616867274595078	0.556571977078266	UQCRC1	1	go_cc
GO:0070469	GO:0070469	respirasome	1/27	70/5170	0.308576720884395	0.63530501358552	0.573207531054605	UQCRC1	1	go_cc
