ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0030139	GO:0030139	endocytic vesicle	48/584	163/5170	1.17373397486514e-10	5.2700655471445e-08	4.17602193162546e-08	HLA-DQB1/VAMP8/ARRB2/NCF2/HLA-F/FMNL1/HLA-C/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/CORO1A/RAC2/HLA-A/TAPBP/HLA-DRA/HVCN1/CD163/B2M/CYBB/UNC93B1/SRGAP2/AP2S1/RAB35/SH3KBP1/CYBA/CDC42EP4/RAB8B/AP2A2/EHD4/AP2M1/RIN1/LAMP1/HSP90B1/GSN/PIK3C3/CD2AP/EHD1/IGF2R/HYOU1/CLTC/CALR/PDIA3/STX7/EHD3/ARF6/SCARB2	48	go_cc
GO:0030666	GO:0030666	endocytic vesicle membrane	30/584	85/5170	3.82698542712433e-09	8.59158228389412e-07	6.80800565456855e-07	HLA-DQB1/VAMP8/HLA-F/HLA-C/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/CORO1A/RAC2/HLA-A/TAPBP/HLA-DRA/HVCN1/CD163/B2M/CYBB/AP2S1/RAB35/CYBA/RAB8B/AP2A2/AP2M1/LAMP1/PIK3C3/IGF2R/CLTC/CALR/SCARB2	30	go_cc
GO:0140513	GO:0140513	nuclear protein-containing complex	87/584	437/5170	2.69371455715571e-08	4.03159278720971e-06	3.19465094848642e-06	NOC2L/STAT1/EXOSC6/CDC27/DNAJC17/CHTOP/STAT2/POM121/EXOSC9/MVP/TCEA1/MTA2/CPSF6/NOP10/FIP1L1/LGALS3/STAT6/ADAR/DHX32/NOL6/DKC1/ASCC3/NOLC1/SYNE3/SSRP1/ZNFX1/SUPT16H/WBP11/DDX5/SART1/XRCC1/BUB3/SMARCA5/TERF2/SNRPD1/EXOSC7/CHD4/SRSF2/SF3B2/PRPF19/SHMT2/THRAP3/NUDT21/PRPF40A/TRIM28/RNMT/RANBP3/SRRM1/SNW1/PRPF6/RALY/SNRPA1/SFPQ/HNRNPA3/CDC5L/LUC7L2/MED1/DHX15/USP39/HDAC2/EIF4A3/RAD50/GAR1/RAD21/SNRNP40/SMARCA2/RELA/ANAPC1/SNRPD2/HNRNPR/MTREX/STAG2/SF3B3/CPSF3/ALYREF/ARFGEF1/IK/PRKDC/SNRNP200/XRCC5/API5/HCFC1/POLR2B/MCM7/PRPF8/SF3B1/DHX38	87	go_cc
GO:0005681	GO:0005681	spliceosomal complex	35/584	119/5170	4.41199036938767e-08	4.95245918963765e-06	3.92434932856061e-06	DNAJC17/LGALS3/ADAR/DHX32/WBP11/DDX5/SART1/SNRPD1/SRSF2/SF3B2/PRPF19/PRPF40A/SRRM1/SNW1/PRPF6/RALY/SNRPA1/HNRNPA3/CDC5L/LUC7L2/DHX15/USP39/EIF4A3/SNRNP40/SNRPD2/HNRNPR/MTREX/SF3B3/ALYREF/IK/SNRNP200/API5/PRPF8/SF3B1/DHX38	35	go_cc
GO:0071013	GO:0071013	catalytic step 2 spliceosome	23/584	65/5170	2.4759742197224e-07	2.22342484931072e-05	1.76185112898142e-05	DDX5/SART1/SNRPD1/SF3B2/PRPF19/SRRM1/SNW1/PRPF6/RALY/SNRPA1/HNRNPA3/CDC5L/EIF4A3/SNRNP40/SNRPD2/HNRNPR/MTREX/SF3B3/ALYREF/SNRNP200/PRPF8/SF3B1/DHX38	23	go_cc
GO:0071556	GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane	11/584	18/5170	5.27961667855535e-07	3.38649698381622e-05	2.68347434188227e-05	HLA-DQB1/HLA-F/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/TAPBP/HLA-DRA/HM13/CALR	11	go_cc
GO:0098553	GO:0098553	lumenal side of endoplasmic reticulum membrane	11/584	18/5170	5.27961667855535e-07	3.38649698381622e-05	2.68347434188227e-05	HLA-DQB1/HLA-F/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/TAPBP/HLA-DRA/HM13/CALR	11	go_cc
GO:0030670	GO:0030670	phagocytic vesicle membrane	18/584	45/5170	6.30050683575616e-07	3.53615946156815e-05	2.80206751379682e-05	VAMP8/HLA-F/HLA-C/HLA-B/TAP1/TAP2/CORO1A/RAC2/HLA-A/TAPBP/HVCN1/B2M/CYBB/CYBA/RAB8B/LAMP1/PIK3C3/CALR	18	go_cc
GO:0045335	GO:0045335	phagocytic vesicle	25/584	79/5170	8.57559610013599e-07	4.27826960995673e-05	3.3901186922175e-05	VAMP8/NCF2/HLA-F/FMNL1/HLA-C/HLA-B/TAP1/TAP2/CORO1A/RAC2/HLA-A/TAPBP/HVCN1/B2M/CYBB/UNC93B1/SRGAP2/CYBA/CDC42EP4/RAB8B/LAMP1/GSN/PIK3C3/CALR/PDIA3	25	go_cc
GO:0042611	GO:0042611	MHC protein complex	9/584	13/5170	1.32879079084173e-06	5.96627065087939e-05	4.72769776110006e-05	HLA-DQB1/HLA-F/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/HLA-DRA/B2M	9	go_cc
GO:0031252	GO:0031252	cell leading edge	46/584	204/5170	2.13752781174396e-06	8.17685847956728e-05	6.47937678137086e-05	EVL/ABI3/CORO1A/RAC2/LCP1/IQGAP2/S100A11/EPS8/CD44/IFIT5/AAK1/GIT1/MYADM/RAPH1/IQGAP1/S100A6/SRGAP2/ABLIM1/EPB41L3/CAPG/DDX58/CORO1B/ACTR2/ARPC2/PLCG2/EZR/WASF2/ACTR3/CYFIP1/SNX1/DBN1/MACF1/GSN/ARPC3/CD2AP/ITSN1/VASP/CDC42BPB/CTTN/DGKZ/DIAPH1/ABLIM3/SNX2/ARF6/ARHGEF7/ENAH	46	go_cc
GO:0030659	GO:0030659	cytoplasmic vesicle membrane	84/584	459/5170	2.18535193217834e-06	8.17685847956728e-05	6.47937678137086e-05	HLA-DQB1/KCNAB2/VAMP8/TMEM165/HLA-F/RAB27A/ADGRE5/HLA-C/GIMAP5/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/CORO1A/STK10/RAC2/HLA-A/TAPBP/HLA-DRA/HVCN1/NECAP2/CD163/B2M/PTPRC/CYBB/CD14/LGALS3/IQGAP2/MRC1/PLD3/CD44/RCC2/FCGRT/IQGAP1/PML/EPN1/AP2S1/SNX4/RAB35/SH3KBP1/RMC1/CYBA/DIPK2A/ANTXR2/VPS33B/CKAP4/MYO1B/RAB8B/RHOG/ARRB1/AP2A2/CD47/SNX1/TM9SF2/ITPR1/EHD4/AP2M1/CLIC4/LAMP1/PIK3C3/ARHGAP1/HMOX2/EHD1/AP3B1/IGF2R/CLTC/ANKFY1/COPB2/COPA/CALR/DIAPH1/PDIA3/NCSTN/STX7/AP1B1/EHD3/SNX2/ARF6/DENND4C/SCARB2/SEC31A/EEA1/SCAMP3	84	go_cc
