UniqueCount	AmbigCount
0	11
0	0
11	1123
0	0
0	15
0	12
0	1
0	0
0	0
0	0
0	0
0	0
0	0
16	138
0	22
11	9
0	22
0	1
0	93
0	3
9	116
0	3
0	26
429	107
0	93
119	1044
53	61
8	9
35	107
0	0
1	0
0	0
10	1273
3	131
1	177
5	137
0	112
0	53
208	94
0	0
0	26
0	0
0	0
0	0
0	0
0	4
27	23
0	97
45	118
57	107
0	27
17	0
1	320
0	136
0	187
34	245
0	138
9	86
19	73
2	106
0	86
48	33
0	73
21	68
7	54
1	59
0	59
13	98
0	0
0	25
0	82
0	4
54	114
1	37
0	5
0	89
0	33
15	41
10	8
0	15
0	19
3	134
0	88
0	7
5	38
0	108
0	81
0	43
0	0
0	0
10	1034
2696	18424
822	31752
3	0
10	260
0	3
1380	3061
5	395
0	0
0	4
464	1980
8	23
0	0
0	0
0	139
0	28
0	27
0	27
0	25
0	22
0	22
3	12
0	24
0	24
0	21
0	22
0	27
0	27
0	21
0	14
0	8
13	6
0	11
10	11
0	6
0	1
1	1
0	7
0	8
0	15
0	7
0	7
0	2
0	9
15	32
1	23
14	23
0	0
30	89
0	87
0	0
155	7
0	13
2	901
0	973
1230	3478
159	332
9	3610
139	108
0	2133
0	3618
110	83
4	1060
0	3598
4	1150
0	2577
10	13
1	825
6	807
1	94
0	910
1	1109
0	1167
0	995
0	64
17	420
3	672
0	668
3	1155
0	1874
0	1937
0	2173
0	902
0	880
0	1016
0	1001
0	77
0	1145
0	2124
0	932
4	76
0	20
1	213
0	69
0	666
9	24
18	51
33	51
2	45
0	18
0	42
1	0
0	0
47	0
382	7
2	5
826	207
5	180
0	21
4	2192
5	2180
2	130
33	1870
0	851
0	938
0	1077
3	665
2	935
1	1582
37	716
1	5
6	209
3	44
6	46
209	1666
5	585
41	1446
0	0
13	491
17	8
385	110
68	23
24	86
26	2
3	4
0	4
2	4
0	0
0	0
0	1
0	1
0	1
0	0
77	0
158	404
47	313
169	313
3	149
5	14
3	5
0	13
0	0
0	0
1	8296
0	9070
0	9226
0	8452
5	190
17	351
139	177
1	18
12	72
706	2442
0	119
0	22
0	33
0	17
0	24
4	27
0	33
5	22
0	24
0	3
0	15
0	0
0	0
0	0
1	142
0	126
4	159
0	158
29	108
0	148
2	137
0	7
0	87
6	61
0	41
0	46
9	18
3	7
0	5
0	11
0	9
0	1
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
40	1339
0	1236
2	1084
91	598
2	513
0	337
0	150
1011	2
0	0
2	0
1	0
2	0
0	0
5	0
0	887
6	962
0	906
2	485
1	441
0	377
6	384
2	70
0	352
0	279
0	45
0	61
0	112
0	65
3	57
6	5
0	38
0	43
14	41
29	8
1	0
3	0
0	91
6	69
7	95
0	95
0	4
0	86
0	0
3	21
305	3397
88	3671
38	2196
0	2023
2	32
0	165
15	321
10	19
133	615
1	293
222	164
4	89
0	5
0	0
46	204
2	57
7	37
1	107
6	124
2	475
0	803
0	796
0	615
0	139
0	719
0	898
0	617
105	516
15	283
1	548
0	782
1	613
0	500
0	648
0	684
0	229
1	108
8	63
0	565
0	120
0	152
0	88
0	36
0	78
0	213
0	3
10	41
0	262
0	136
0	101
0	162
0	119
0	120
0	7
13	7
0	43
4	240
3	202
42	142
0	128
2	50
0	70
0	43
0	52
0	26
0	8
0	8
1	8
0	0
23	2
8	92
263	127
1	36
53	0
12	1037
42	1069
42	162
2	185
5	95
0	37
17	58
0	0
0	12
0	22
0	22
0	17
0	22
0	8
0	1
0	4
0	0
0	0
24	1173
11	1145
101	1102
44	1134
1	46
0	15
0	0
0	2566
36	3081
0	2471
18	1702
77	5031
3	3080
16	3466
0	4098
1	1130
0	1651
0	356
4	293
1	253
8	360
0	1087
61	75
2	257
20	17
5	78
0	343
0	346
16	486
0	429
0	400
0	416
0	326
0	327
0	394
0	25
0	337
0	347
0	353
0	115
140	603
1	342
34	412
6	20
17	267
1	46
0	6
105	8
0	5
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	65
22	72
0	0
6	31
0	0
0	0
2	364
0	240
39	322
4	37
28	192
44	122
0	8
6	8
0	0
0	513
29	355
0	487
0	395
0	464
0	5
1	55
0	95
64	162
0	162
26	4
486	1148
7	981
0	164
1199	73
3	15
29	15
0	0
368	3
51	0
467	5
16	652
4	661
0	710
0	713
0	592
4	652
0	652
70	68
2	32
4	696
2	51
0	541
7	77
0	5
0	53
0	710
2	414
0	30
0	600
0	505
13	9
5	16
0	551
9	60
2	12
0	19
0	81
0	116
0	140
5	82
0	64
0	67
0	1
0	8
1	8
0	6
0	4
0	4
0	2
0	2
1	2
3	2
33	1234
0	1048
0	1026
0	976
0	897
0	864
0	864
0	864
0	217
1	0
17	1717
116	10276
2	9850
50	2766
105	1295
0	0
0	0
0	5
58	833
0	690
1	139
0	567
0	654
0	416
0	700
0	736
0	621
0	560
22	23
0	42
1	14
0	3
0	116
0	17
1	10
4	58
5	117
8	98
6	6
4	10
14	9
705	634
3	0
2	0
0	0
0	0
89	1631
365	213
92	1345
0	912
32	1484
0	1360
3	1211
1	548
12	7
1	218
2	92
0	46
6	171
1	75
3	43
0	130
4	218
0	246
2	248
11	143
1	1
4	18014
20	21258
56	22383
5	19054
2	20154
7	20874
0	19557
2	17349
1	20835
31	20136
0	11705
0	20536
0	20717
16	20400
0	20399
3	19526
0	19082
0	16363
6	17901
0	15356
16	17472
39	17061
8	9302
5	8117
127	1190
18	4283
7	3485
4	1642
5	43
2	292
25	1
1	50
0	41
0	9
3	50
0	28
1	0
0	0
3	0
0	0
0	11
3	11
0	0
0	0
0	0
0	0
0	4
0	0
0	4
0	0
0	0
0	4
0	4
0	0
2	1
0	0
0	0
0	0
0	9
0	15
0	9
0	12
0	15
0	7
0	6
0	9
1	9
0	8
0	0
1	11
0	1
0	1
0	5
0	4
0	5
0	2
1	6
0	0
0	0
2	925
0	46
0	0
0	0
0	0
0	0
147	960
2	79
0	764
0	85
0	141
1	91
1	136
0	91
0	139
1	153
0	103
0	55
0	42
2	102
2	16
0	817
4	97
1	543
1	540
0	20
0	0
80	1
20	4
5	295
0	296
9	386
0	487
16	144
130	99
5	115
8	280
0	168
6	168
12	163
2	74
1	158
0	0
0	0
1	0
0	50
2554	78
2	0
0	6
12	17
0	0
2	0
0	112
3	100
13	116
0	2
104	22
1	9
49	48
0	64
84	8
5	14
0	4
16	0
24	0
0	0
8	0
7	1522
0	50
2	1753
0	228
13	9
15	778
1	165
131	380
7	126
9	431
1	445
0	308
0	330
0	55
0	10
2	3
0	5
0	3
0	0
19	656
1	685
0	682
1	651
6	550
6	208
22	214
0	0
0	0
23	664
0	537
0	343
1	66
6	13
5	2
6	3
0	57
1	162
15	62
1	1
0	11
10	0
2	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	5
0	2
0	0
0	0
0	3
3	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
1	0
2	144
0	137
0	996
1	939
0	1043
0	959
0	251
0	937
0	237
0	64
0	28
2	53
7	903
1	19
7	872
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
156	9
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	3
1	3
0	3
0	3
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	3
0	3
0	3
0	0
0	0
0	2
0	2
0	0
6	45
0	45
3	24
0	1
0	20
0	4
0	2
0	0
0	0
0	6
5	6
0	6
0	6
0	6
0	6
0	5
240	971
0	971
33	160
20	161
108	28
1	65
0	41
1	7
0	2
0	51
0	45
1	4
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	2
0	0
0	0
0	0
0	74
0	39
0	369
0	294
0	441
23	869
0	227
0	7
0	473
0	22
0	488
18	528
2	643
0	617
0	219
0	327
0	344
0	311
0	364
1	512
0	258
0	36
0	74
0	7
0	345
0	299
24	39
0	286
2	15
0	0
2	0
0	0
0	0
2	0
0	0
0	0
0	0
1494	228
3	227
0	45
0	0
1	0
15	1181
1	1446
0	1523
2	1478
2	1283
0	1489
13	1442
3	1378
0	1302
