UniqueCount	AmbigCount
3	25
0	1
2	322
0	0
0	0
0	4
0	0
0	2
0	1
0	0
0	0
0	0
0	0
8	48
0	7
10	3
2	12
0	6
0	29
0	0
21	117
12	8
0	43
711	152
1	115
94	954
39	35
8	5
17	66
0	0
0	0
0	3
3	399
0	43
0	58
3	53
0	35
0	19
79	34
2	0
0	3
0	11
0	2
2	70
0	0
0	0
4	2
0	29
34	44
36	51
0	14
9	5
2	338
0	133
0	198
23	281
0	115
2	79
16	71
3	120
0	80
60	46
0	74
23	73
11	50
0	65
0	113
19	83
0	0
0	20
0	27
0	0
29	126
0	6
5	7
0	30
0	2
0	2
2	1
0	6
0	2
2	76
0	28
0	4
6	15
0	51
0	24
0	16
2	15
0	8
17	1827
4140	29593
1282	45679
2	0
4	304
0	18
2205	6222
11	650
0	0
0	0
439	1872
19	22
0	0
0	0
0	134
0	12
0	8
0	8
0	7
0	6
0	16
1	6
0	6
0	6
2	19
0	6
0	8
0	8
0	4
0	13
0	7
5	2
0	10
6	10
0	4
0	0
3	0
0	2
0	4
0	4
0	2
0	2
0	2
0	2
19	43
5	14
9	14
0	0
26	14
0	12
0	0
152	4
0	27
0	1441
0	1593
1604	5469
351	642
7	5888
212	205
0	3505
0	5821
288	163
6	1803
0	5772
5	1916
0	4206
55	37
0	1261
16	1416
0	168
0	1489
2	1918
1	2031
0	1636
2	143
62	658
1	1193
0	1145
1	1932
1	3068
0	3152
0	3730
0	1518
0	1381
0	1690
0	1613
1	161
0	1965
0	3595
0	1536
4	159
0	55
2	440
0	142
0	1181
55	70
13	18
2	18
0	46
0	16
0	42
5	0
0	0
4	0
29	2
2	2
18	5
0	5
0	0
0	151
0	151
0	8
0	127
0	55
0	65
0	65
0	46
0	53
0	112
7	47
0	0
0	13
0	0
1	3
178	1339
7	492
61	1159
0	0
16	404
19	12
53	14
13	4
3	10
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
3	0
6	61
8	56
7	50
0	34
2	53
0	9
35	53
0	0
1	0
3	854
3	830
0	778
0	802
1	11
0	24
2	10
0	2
3	11
47	230
1	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	45
4	45
0	48
0	45
5	43
0	44
7	45
0	7
0	23
1	10
0	5
0	5
0	1
2	1
0	0
0	2
0	1
0	0
1	0
0	0
6	0
0	0
0	0
0	0
0	0
1	0
0	3
0	3
0	0
0	0
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	1
0	2
0	1
0	1
0	2
0	3
0	1
0	0
0	0
0	1
0	1
0	1
0	1
114	2508
0	2340
0	1967
68	1017
5	850
0	538
0	241
468	0
3	1
5	1
3	0
0	0
0	0
10	0
1	1152
12	1258
0	1159
7	628
0	589
0	508
8	531
15	76
0	478
4	401
0	57
0	84
0	164
0	107
0	114
3	5
0	36
2	52
20	60
28	4
1	0
3	0
0	52
3	43
13	53
0	54
0	5
0	46
0	0
1	7
45	515
24	543
4	352
0	305
1	4
0	12
1	63
7	1
13	84
0	48
23	33
3	16
0	1
0	0
42	119
2	34
2	9
0	53
3	73
8	301
0	510
0	504
0	376
1	78
0	419
0	533
0	377
38	319
10	173
4	334
0	495
2	368
0	312
0	373
0	421
0	112
0	48
3	36
0	333
0	54
0	88
0	74
0	29
0	62
0	124
0	2
5	18
0	146
0	66
0	66
0	109
0	80
0	81
2	3
4	4
0	35
0	105
0	79
37	55
1	59
0	28
1	36
0	30
0	16
0	14
0	1
0	8
2	8
0	0
3	0
3	34
142	42
0	10
18	0
14	603
11	583
2	52
0	105
6	34
0	10
5	30
0	0
1	395
9	581
1	657
7	373
3	618
1	151
0	131
9	172
3	8
0	1
6	1111
8	1099
117	1081
39	1098
0	39
0	2
0	0
6	1269
25	1429
3	1165
31	868
54	2453
0	1521
1	1688
0	1928
0	565
0	721
3	185
0	87
0	125
1	166
0	542
33	46
0	106
19	11
5	39
1	241
0	251
5	302
0	297
1	257
0	281
0	212
0	222
0	245
0	13
0	223
0	234
0	245
0	78
192	651
0	359
42	434
16	22
36	292
3	53
0	0
129	1
4	240
9	248
11	281
0	61
27	79
1	0
12	0
0	2
0	0
0	1
0	2
0	11
0	147
56	157
0	0
3	30
0	0
0	2
3	294
0	168
42	242
4	40
44	123
43	79
8	0
0	1
0	0
0	606
14	435
0	572
0	496
0	544
0	4
1	68
1	107
3	11
0	11
3	0
376	932
12	794
0	139
940	54
0	9
12	9
0	0
35	0
2	0
293	0
7	485
5	503
0	530
0	525
0	420
0	487
0	484
27	41
1	31
2	485
1	28
0	379
4	40
3	7
0	26
0	513
4	313
0	14
0	441
0	352
4	1
3	7
0	423
2	52
8	9
0	1
2	52
0	77
0	92
4	60
0	41
0	38
1	1
0	12
2	2
3	11
0	10
0	9
0	9
0	9
2	8
0	8
21	1374
2	1196
1	1173
0	1049
0	989
0	949
0	949
0	949
0	212
5	0
7	336
25	1884
0	1815
8	530
35	272
0	0
0	0
0	11
