UniqueCount	AmbigCount
0	7
0	0
3	593
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	13
0	2
0	0
0	0
0	0
0	4
0	0
1	21
0	0
0	0
13	2
0	2
0	14
2	17
0	0
5	25
0	0
0	0
0	0
18	623
2	33
4	53
0	30
0	41
0	20
114	26
0	0
0	1
0	0
0	0
0	0
0	0
0	2
1	1
0	0
5	1
1	0
0	0
0	0
0	22
0	9
0	13
1	7
0	18
0	5
0	3
0	12
0	12
7	2
0	4
0	4
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
13	30
0	3
0	0
0	2
0	5
0	5
4	1
0	3
0	7
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
21	208
14899	97688
1154	32069
0	0
37	46
6	22
14729	23147
36	146
0	0
0	0
166	95
1	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	19
0	0
0	0
0	0
0	2
0	0
0	0
2	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	25
0	2
0	2
0	0
1	0
0	0
2	0
16	0
0	0
0	152
0	158
186	440
15	46
0	451
13	7
0	296
0	439
9	3
1	163
0	443
1	174
0	334
2	0
0	139
3	125
4	3
1	136
0	174
0	177
0	161
0	5
2	82
0	110
0	120
1	173
0	244
0	267
0	283
0	129
0	151
0	153
0	164
0	7
1	165
0	273
0	146
0	7
0	4
0	28
0	5
0	110
1	0
1	0
5	0
0	3
0	0
0	3
0	0
0	0
0	0
0	0
0	0
98	19
0	14
0	5
0	193
0	193
0	8
2	162
0	110
0	113
0	127
0	88
0	102
0	148
1	73
2	0
0	33
0	0
0	13
248	1027
1	335
20	906
0	0
33	322
8	6
47	13
2	0
4	13
2	0
1	1
0	1
0	2
0	0
0	0
80	1222
0	1082
0	475
2	742
12	0
14	35
3	29
29	29
4	19
0	64
0	37
90	63
0	0
1	0
0	528
0	482
0	455
0	501
0	4
0	9
1	4
0	0
0	6
10	121
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	35
0	26
0	28
0	33
6	27
0	32
3	36
0	3
0	18
0	2
0	2
0	4
0	1
0	2
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	6
0	6
0	0
0	0
0	3
0	0
0	0
0	0
0	5
1	8
2	2
0	4
0	27
0	33
0	24
0	47
1	26
0	38
1	14
0	33
0	14
0	14
0	21
0	32
0	26
0	1
37	1307
1	1137
2	896
69	500
15	378
1	134
0	205
353	0
3	0
0	0
3	0
1	0
0	0
2	0
0	360
19	414
0	367
4	220
2	206
2	149
1	142
11	6
0	122
0	90
0	3
0	6
0	24
0	24
0	39
0	0
0	0
0	6
0	30
4	0
0	0
5	0
0	78
2	58
4	82
0	82
1	4
1	79
0	0
1	14
76	778
12	819
4	551
0	488
0	0
1	39
0	90
1	1
18	136
0	72
7	35
0	6
0	0
0	0
26	49
3	8
0	2
1	26
1	24
6	501
0	912
0	911
0	753
0	140
0	798
0	944
4	756
43	529
7	218
3	666
0	911
0	751
0	668
0	742
0	804
0	207
1	74
0	28
0	511
0	79
0	175
0	108
4	43
0	82
0	110
0	3
5	20
1	173
0	46
0	57
0	120
0	90
18	102
0	7
6	1
0	37
0	131
1	72
0	40
1	32
0	33
0	4
0	1
0	10
0	15
0	0
0	3
0	6
0	0
2	0
1	142
526	193
2	54
12	0
85	3583
126	3303
7	365
0	731
13	72
6	22
8	105
0	0
1	476
1	746
8	967
11	570
3	870
0	162
0	115
19	141
0	0
0	0
38	1100
82	1044
422	1034
360	1133
6	79
1	14
0	0
0	1055
19	1353
8	1083
15	757
44	2065
4	1209
8	1519
0	1769
1	493
1	777
18	119
8	74
0	87
25	108
0	476
14	6
4	76
10	0
1	8
4	156
9	154
2	158
0	171
0	156
0	167
1	142
1	140
0	140
0	2
0	140
0	150
0	151
0	50
1100	675
9	261
21	317
12	5
21	422
5	32
0	2
21	1
1	91
0	82
2	82
1	39
1	7
1	0
1	0
0	1
0	0
0	1
1	1
0	42
4	239
77	281
0	3
4	5
0	0
2	2
1	208
0	141
36	194
5	10
21	126
30	79
0	1
11	1
0	0
1	372
8	248
0	342
3	289
1	334
0	0
1	23
0	37
4	5
0	5
1	0
732	1147
11	986
0	160
434	14
0	2
13	2
0	0
9	0
1	0
264	0
33	754
4	783
0	834
0	830
0	692
15	745
0	762
5	13
0	11
11	774
5	69
0	618
2	19
0	1
3	54
0	822
5	395
4	28
0	690
3	563
1	3
2	3
0	639
2	65
1	4
0	5
9	75
0	167
1	166
1	120
0	24
2	24
