UniqueCount	AmbigCount
1	15
0	0
2	1706
0	0
0	9
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	29
0	2
0	0
0	8
0	0
0	19
3	19
5	45
2	0
0	10
71	23
0	23
2	61
6	46
0	0
42	107
0	0
0	0
0	0
27	1695
1	23
1	127
16	35
0	123
0	19
256	119
0	1
0	1
0	4
0	3
0	4
0	0
0	0
0	4
0	4
10	3
1	0
0	1
5	0
0	90
0	32
1	38
2	59
0	48
6	26
3	11
0	45
0	39
21	12
0	21
2	4
0	0
1	0
0	27
6	0
0	0
0	0
0	0
3	14
29	60
3	10
0	0
0	2
0	9
0	8
2	0
0	2
0	8
1	15
0	4
0	0
0	0
0	2
0	0
0	1
0	0
0	0
26	1458
21847	71439
8013	39599
0	5
4	74
0	5
23885	28354
9	224
0	0
11	7
315	362
2	6
0	0
1	0
0	7
0	0
0	3
0	3
0	0
0	3
0	8
0	0
0	3
0	3
0	46
0	3
0	3
0	3
0	0
0	9
0	1
10	0
0	9
5	9
0	3
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	61
0	1
1	2
0	0
10	3
0	3
12	7
51	0
0	4
0	628
0	698
891	2385
42	305
7	2503
78	78
0	1595
0	2351
66	47
1	722
0	2405
1	767
0	1753
3	3
0	618
6	565
1	42
0	617
1	770
3	772
0	704
0	43
41	427
0	490
0	505
4	774
0	1404
0	1428
0	1526
0	609
0	632
0	667
0	727
1	48
1	758
0	1513
0	621
8	48
0	36
0	182
0	48
0	490
12	15
16	28
20	28
2	8
0	0
0	4
9	0
0	0
0	0
2	1
0	0
14	2
0	2
0	0
0	230
0	230
0	0
0	227
0	3
0	9
0	9
0	3
0	7
0	229
2	7
0	0
0	7
0	0
0	1
428	2387
7	987
59	2101
0	0
40	725
20	13
69	12
8	4
16	8
0	0
14	2839
0	10
0	11
0	0
0	4
1288	14901
0	12950
8	5756
22	9365
78	0
40	216
31	180
66	187
4	130
0	155
0	83
146	154
0	0
0	0
0	531
0	501
0	477
0	507
0	4
0	11
2	6
0	0
0	13
18	163
0	1
0	0
0	0
0	0
0	0
4	0
0	0
2	0
0	0
0	0
0	0
4	0
0	0
0	0
1	86
0	72
0	80
0	82
16	69
0	80
8	90
0	14
1	54
0	25
0	18
0	18
0	9
1	11
0	3
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
0	6
0	6
0	0
0	0
1	2
0	0
0	0
0	0
0	15
0	25
2	9
0	5
0	54
0	51
0	54
0	60
1	33
0	67
0	29
0	46
0	28
0	29
0	24
0	47
0	51
0	2
1	2949
1	2672
1	2291
229	1527
23	1240
0	424
0	669
522	0
1	2
0	2
8	2
0	0
2	0
2	0
0	1189
33	1329
0	1204
29	617
0	696
2	457
4	503
12	57
0	409
11	262
0	28
0	56
0	153
0	137
0	195
1	0
0	11
0	24
5	180
9	0
0	0
35	0
0	179
0	129
16	177
2	183
3	1
2	168
0	0
10	37
309	1835
33	1948
18	1372
0	1213
6	2
0	113
4	176
11	1
92	273
0	148
93	127
0	33
0	0
0	0
39	156
4	38
14	6
0	88
16	69
32	2106
0	3352
0	3355
0	2742
1	716
1	2911
0	3555
0	2746
485	2133
72	1030
19	2335
0	3323
0	2724
0	2387
0	2856
0	2891
0	836
12	360
35	154
0	1985
0	345
0	591
0	585
7	296
0	438
0	844
1	13
