UniqueCount	AmbigCount
0	35
0	0
17	2299
0	0
0	6
0	5
0	0
0	4
0	2
0	2
0	1
0	0
0	8
10	83
0	20
8	4
2	14
0	0
0	36
1	3
0	30
0	3
0	22
272	35
0	28
1	253
58	68
5	1
66	130
0	0
0	0
0	0
48	3065
20	271
0	348
0	250
0	245
0	157
262	125
0	0
0	57
0	1
0	0
0	2
0	1
0	2
0	10
0	14
27	52
21	20
0	6
24	0
0	117
0	66
0	106
2	83
0	56
1	34
0	19
0	79
0	38
25	29
0	53
8	23
3	19
1	20
0	81
14	28
0	1
0	20
0	7
0	3
6	52
1	18
0	5
0	27
1	15
0	15
7	3
0	23
0	12
0	62
0	16
0	2
8	15
0	23
0	7
0	11
0	0
0	0
1215	1262
1127	4410
71478	127476
0	0
3	229
0	0
2846	3088
12	1426
0	1
0	4
115	774
41	37
0	0
0	0
0	57
0	46
0	32
0	33
0	34
0	29
0	42
2	28
0	31
0	30
0	95
0	26
0	30
0	31
0	31
0	33
0	23
10	9
0	15
7	15
0	30
0	0
2	0
0	5
0	6
0	14
0	6
0	6
0	2
0	8
17	101
2	32
24	32
0	1
47	57
0	54
3	5
274	15
0	27
1	1032
0	1049
1058	3454
266	948
0	4121
236	248
0	2511
0	3529
244	199
6	1330
0	3552
0	1297
0	2793
39	99
0	1053
3	997
2	198
0	1115
0	1293
0	1311
0	1076
2	205
24	787
0	774
0	878
3	1303
0	2329
3	2356
0	2472
0	1075
0	1040
0	1155
1	1090
2	225
1	1223
0	2415
0	1061
6	223
1	103
0	611
0	212
0	770
29	50
4	20
15	20
2	31
0	6
0	25
0	0
0	0
0	0
2	0
0	0
6	4
0	4
0	0
0	21
0	22
0	3
0	19
0	17
0	16
0	17
0	12
0	13
0	13
0	6
0	0
0	1
0	0
0	1
382	4575
12	1786
84	4254
2	0
19	1160
22	96
100	39
21	14
5	25
4	1
4	2
0	2
0	2
1	1
0	1
1065	20033
0	17220
3	5388
20	15387
22	0
9	130
13	114
51	116
5	69
1	521
0	253
123	518
0	1
0	0
0	732
0	693
0	640
0	679
0	34
3	39
3	25
0	3
2	12
15	191
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
2	138
0	121
0	130
0	146
22	105
0	137
5	141
0	31
0	102
0	40
1	34
0	39
0	19
0	16
0	10
0	11
0	7
4	9
1	1
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	19
0	19
0	0
0	0
2	7
0	1
0	0
0	0
0	3
0	6
2	3
0	2
0	52
0	62
0	53
0	67
2	59
0	64
0	31
0	57
0	30
0	30
0	45
0	58
1	49
0	7
6	3855
0	3560
5	3277
172	1745
19	1460
0	1270
0	758
1090	2
2	14
1	9
5	16
4	3
1	3
5	0
0	1789
6	1939
0	1815
4	1060
0	1092
0	969
2	963
23	217
0	859
5	656
1	213
1	271
0	372
0	241
2	245
2	22
0	52
1	78
17	178
56	3
3	1
26	1
0	170
0	122
22	166
0	168
0	20
1	145
1	0
3	23
307	2110
55	2221
14	1570
0	1320
4	40
1	210
4	284
7	42
76	424
0	204
49	159
1	96
1	3
0	0
42	378
8	136
6	41
1	233
12	175
3	2990
0	4824
0	4818
0	3707
0	1162
0	4028
0	4993
8	3712
211	3198
23	2029
3	3297
0	4767
2	3708
0	3143
0	3845
0	4124
1	1302
4	692
10	479
0	3123
0	790
0	1090
1	1000
3	668
0	769
0	1402
1	76
14	351
1	1481
5	793
2	811
1	1213
0	1049
41	1110
1	38
7	15
0	610
0	1186
5	860
15	530
0	665
2	654
0	341
0	298
0	275
6	371
0	11
0	42
10	54
0	0
47	0
7	772
1627	981
25	255
15	0
68	25643
558	24271
40	3547
0	5798
64	1920
5	1407
80	1864
0	0
0	1001
4	1643
1	1904
6	1423
1	1834
0	415
0	281
47	559
0	21
1	25
59	8536
75	8202
646	8125
448	8677
36	970
7	242
0	0
0	4411
34	6029
12	4441
90	3018
25	10281
6	5848
13	7345
0	7636
0	2668
0	4077
5	988
17	1025
6	926
9	1323
0	2956
137	311
8	975
37	109
12	401
2	633
7	642
5	670
0	689
0	630
0	675
0	573
1	578
0	608
0	41
0	567
0	593
0	609
0	232
1480	7734
20	4403
107	5838
67	316
113	3365
16	1010
0	34
91	6
0	168
0	151
1	154
0	85
3	36
5	0
2	0
1	5
5	0
0	5
0	5
1	134
0	667
89	799
2	39
10	134
0	0
1	23
4	962
0	592
116	825
3	150
110	509
90	384
1	42
64	55
0	4
0	1637
23	1261
0	1534
0	1341
1	1467
0	27
1	178
3	326
7	26
0	26
24	3
1128	6362
40	4697
4	1710
2130	612
0	8
30	8
0	0
38	0
17	0
1465	1
177	6305
16	6093
0	6597
0	6550
0	5602
33	6178
0	6118
300	371
3	490
23	6374
21	628
0	5296
9	489
2	123
9	837
0	6536
15	4087
8	512
0	5745
18	5049
34	178
34	208
1	5157
14	702
10	148
0	235
24	858
0	1440
0	1576
2	1106
0	650
7	633
2	2
0	21
2	13
2	15
0	11
0	4
0	5
0	5
3	2
1	7
53	3842
0	3506
0	3524
0	3198
0	2979
0	2871
0	2870
0	2871
0	792
4	1
1	1066
36	4813
1	4611
158	1629
