UniqueCount	AmbigCount
0	1
0	0
3	630
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	7
0	0
0	0
0	0
0	0
1	1
0	0
0	23
0	0
0	2
19	0
0	0
3	18
1	1
0	0
16	9
0	0
0	0
0	0
18	621
0	13
0	31
0	10
0	24
0	6
79	19
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
1	0
0	34
0	16
1	29
0	9
0	24
0	5
0	6
0	15
0	13
6	5
0	12
0	2
0	0
0	0
0	4
2	0
0	0
0	0
0	0
0	0
20	25
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	4
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
15	209
1057	48703
1276	35009
0	0
33	29
2	22
16661	26136
24	99
0	0
0	0
158	158
0	3
0	0
0	0
0	1
0	6
0	1
0	5
0	2
0	5
1	2
0	2
0	5
0	5
0	5
0	5
0	5
0	5
0	2
0	3
0	3
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
3	7
0	1
2	1
0	0
2	1
0	0
1	0
17	0
0	0
0	356
0	399
516	1378
27	91
1	1410
25	46
0	964
3	1424
27	34
7	428
0	1411
9	472
0	1109
4	8
0	320
5	332
3	37
1	350
0	440
0	472
0	409
0	19
10	171
0	283
0	282
5	466
0	845
0	878
0	993
0	345
0	349
0	393
1	410
0	22
0	469
0	964
0	359
2	22
0	8
0	47
0	17
0	283
12	4
2	5
9	5
1	5
0	0
0	4
0	0
0	0
0	0
0	0
0	0
5	1
0	1
0	0
0	9
0	9
0	0
0	9
0	5
0	6
0	6
0	5
0	2
0	9
0	2
0	0
0	1
0	0
0	0
214	998
0	348
14	886
0	0
46	304
11	2
28	6
2	1
1	5
2	0
2	1
0	0
0	1
0	0
0	0
390	4644
0	4086
0	1877
10	2772
15	0
9	50
7	42
48	42
2	26
0	64
0	41
70	64
0	0
0	0
0	399
0	362
0	344
0	381
0	10
0	5
0	3
0	1
0	2
6	90
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
1	30
0	31
0	44
4	26
0	40
3	39
0	11
0	27
0	5
0	5
0	6
0	4
2	1
0	2
0	1
0	1
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	9
0	0
0	0
2	2
0	0
0	0
0	0
0	1
1	2
0	1
0	0
0	16
0	24
0	24
0	32
0	17
0	30
0	9
0	26
0	8
0	10
1	16
0	24
5	16
0	2
30	1287
0	1122
0	885
38	547
4	435
2	124
0	168
188	0
2	0
0	0
0	0
2	0
0	0
1	0
0	433
18	509
0	437
3	270
0	272
0	198
7	184
6	18
0	139
0	114
0	5
0	12
0	28
0	35
0	52
0	0
0	2
0	13
1	43
0	0
0	1
10	1
0	53
2	46
4	60
0	61
2	8
0	48
0	0
2	7
65	558
5	591
5	450
0	368
1	0
0	30
1	67
0	1
16	62
1	33
10	28
2	11
0	0
0	0
20	66
0	12
0	3
1	44
3	24
2	681
1	1261
0	1261
0	1025
0	183
0	1104
0	1339
2	1028
63	744
3	265
5	890
0	1261
0	1028
0	915
0	1042
0	1131
0	338
2	101
6	30
0	783
0	103
0	228
0	178
1	77
0	125
0	201
0	3
13	27
1	279
5	81
1	91
2	201
0	160
19	167
2	4
3	1
0	47
0	246
4	125
1	79
1	77
0	81
0	27
0	15
0	16
5	22
0	0
0	0
1	1
0	0
14	0
8	160
585	212
6	58
2	0
85	4420
113	4155
16	444
0	804
12	84
2	35
11	119
0	0
0	369
0	561
10	814
7	538
0	686
0	125
1	92
19	116
1	0
0	1
43	1346
116	1266
537	1257
519	1390
15	120
4	31
0	0
1	909
26	1134
3	921
28	662
40	1659
3	1033
4	1240
0	1461
0	433
0	646
4	80
3	52
0	74
12	83
0	331
16	1
2	49
4	0
0	2
4	130
5	131
0	140
0	143
0	136
0	143
0	126
0	127
0	128
0	0
0	128
0	133
0	133
0	39
1112	864
6	280
6	351
8	0
18	585
5	19
0	0
24	0
1	66
1	52
0	62
0	38
2	13
2	0
0	1
0	1
0	0
0	1
0	1
0	24
2	169
69	193
0	3
3	10
0	0
1	0
4	179
0	106
36	153
2	5
30	94
42	53
0	3
6	3
0	0
3	479
4	324
0	438
0	373
0	434
4	0
0	19
1	78
2	28
0	28
4	0
702	1320
32	1167
0	153
335	13
0	4
4	4
0	0
24	0
0	0
399	0
54	2023
3	1998
0	2192
0	2169
0	1836
18	1951
0	1962
25	23
3	25
24	1917
16	122
0	1550
1	34
0	3
12	184
0	2155
2	1025
6	122
0	1871
0	1567
2	2
5	11
0	1692
5	140
2	4
0	16
11	183
4	465
1	463
11	357
0	109
0	115
0	0
1	14
0	3
1	13
0	12
0	3
0	3
1	8
0	2
0	0
0	1660
0	1377
1	1574
0	1141
0	1078
0	1155
0	1155
0	1155
0	216
1	0
1	233
14	1322
2	1299
103	488
25	256
0	0
0	0
0	14
76	1042
2	981
1	200
0	655
6	879
0	408
0	744
0	925
0	665
0	679
11	10
4	44
4	15
0	1
7	78
0	5
1	11
9	44
2	82
2	33
4	1
0	2
4	1
87	747
0	0
2	0
0	0
0	0
12	225
12	38
7	230
0	115
3	384
0	367
0	325
4	175
0	0
0	72
2	23
0	13
6	51
0	10
0	8
0	24
2	39
0	38
2	39
8	19
0	0
0	1500
1	1746
5	1812
0	1595
0	1657
0	1779
0	1608
0	1355
0	1777
0	1655
0	956
0	1663
0	1767
0	1745
0	1744
0	1683
0	1643
0	1431
3	1485
0	1286
0	1450
1	1414
0	812
0	739
24	157
0	437
0	262
0	80
0	1
1	3
0	0
0	8
4	5
0	0
2	8
1	3
69	241
90	242
72	99
2	28
95	2109
338	2211
0	32
613	494
193	257
41	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	6
0	2
0	5
0	5
1	4
0	2
0	5
0	4
0	2
0	0
0	4
0	1
0	1
0	3
0	0
0	1
0	0
0	3
0	0
0	0
0	16
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	7
0	16
0	0
0	0
3	0
1	0
5	43
3	49
3	81
0	160
0	61
13	25
0	71
0	176
0	99
5	99
1	94
2	20
1	58
0	3
3	0
0	0
0	10
846	12
0	0
0	1
3	2
0	4
0	4
7	29
1	28
0	25
0	0
5	4
0	3
1	5
0	8
0	0
0	0
0	0
0	0
5	0
0	0
1	0
11	907
0	84
62	1366
0	357
13	2
3	642
2	264
63	551
2	40
5	519
0	576
0	387
0	378
3	100
0	32
1	7
0	4
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
51	808
0	711
5	510
0	61
0	8
2	0
0	0
0	50
0	156
2	11
0	0
1	0
0	0
0	3
0	3
0	16
0	0
2	2
0	9
2	18
0	0
0	30
0	40
4	39
0	40
0	34
7	137
0	116
6	28
0	34
7	34
14	115
0	150
0	16
0	42
0	0
2	12
0	0
1	0
0	0
0	11
0	11
0	79
0	77
0	90
0	80
0	24
0	85
0	20
1	6
0	1
1	0
1	72
0	0
0	70
0	0
0	3
0	2
0	3
0	0
0	0
6	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
2	2
0	0
0	1
10	6
1	3
0	2
0	0
3	3
0	0
0	32
0	5
0	49
14	48
0	31
0	30
0	0
0	31
0	6
0	0
0	0
0	0
0	0
0	0
1	0
6	0
12	40
0	40
0	40
0	4
0	1
0	1
2	31
0	0
0	230
0	244
1	111
1	7
1	133
0	11
0	16
0	0
0	0
0	2
5	2
0	1
0	0
0	1
0	1
0	1
348	1207
2	1207
9	105
49	105
39	5
0	38
0	22
1	4
0	1
0	44
0	30
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	66
0	10
0	180
0	186
0	205
35	584
0	116
2	1
0	252
0	0
1	286
17	342
0	431
0	389
0	141
0	219
0	230
2	190
0	274
2	356
2	184
0	31
0	35
0	4
0	251
0	197
2	24
0	170
2	2
0	0
4	4
0	3
0	4
1	2
1	1
0	2
0	0
1960	293
1	293
2	11
0	0
0	0
1	542
0	660
0	679
4	650
2	562
0	642
2	640
0	614
0	580
0	629
0	546
0	595
0	645
0	557
0	583
0	549
0	10
0	362
0	137
1	342
0	8
0	16
0	214
0	101
0	61
1	50
0	2
0	63
7	63
2	58
0	62
0	61
0	64
2	61
0	60
2	1
0	6
19	193
30	211
7	218
0	189
0	200
1	182
0	180
2	179
1	186
3	116
0	6
0	0
0	0
0	4
1	6
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
59	20
6	20
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	13
5	12
0	51
1	56
0	47
1	42
1	1
0	2
2	6
0	20
0	0
0	5
0	7
0	100
0	94
0	97
0	2
0	2
0	0
0	0
0	0
0	7
0	2
0	6
0	88
0	9
0	0
0	13
0	88
0	1
0	49
0	95
0	3
0	88
0	6
0	6
0	26
0	92
0	2
0	3
0	86
0	1
0	0
0	93
0	97
0	24
0	25
0	4
0	0
0	82
0	0
0	25
0	61
0	0
0	0
0	5
0	78
0	69
0	78
9	0
0	0
0	0
0	0
0	0
0	0
0	421
5242	5091
5	5029
1	4723
0	2689
2	1860
0	425
3	424
0	0
1	0
33	54
0	0
5	3
5	48
0	0
0	0
0	5
0	5
707	1005
0	1
3	1005
9	318
0	0
0	0
0	0
0	0
44	0
0	19
0	24
1	19
0	19
0	19
0	15
0	15
0	24
0	11
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	1
0	0
0	3
0	0
0	1
0	1
0	2
0	0
0	0
0	0
0	20
0	33
0	33
14	38
0	29
0	35
0	34
2	24
0	10
0	4
2	12
0	4
0	4
0	9
0	13
0	0
0	3
0	6
0	5
1	5
0	2
1	121
0	183
0	195
13	195
0	195
0	159
0	195
0	195
0	195
0	188
1	195
0	195
0	195
0	195
0	195
1	113
0	176
0	55
0	4
0	6
0	5
0	14
0	1
0	5
0	5
0	1
0	1
0	1
0	0
412	38
1	28
1	3
0	1
0	11
0	0
0	0
2	0
0	0
0	0
0	0
7	155
1	61
1	55
0	38
14	65
4	11
0	36
0	17
1	6104
155	5728
0	977
0	633
1	274
227	15
0	15
96	176
0	0
2	136
9	36
0	88
6	55
2	32
1	1
1	267
0	1283
0	1152
0	827
0	935
0	1112
0	1031
0	1047
1	1102
11	611
0	779
1	890
4	1131
1	655
3	755
0	191
1	142
18	172
0	38
0	172
0	12
0	143
0	86
2	89
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
27	119
99	205
23	63
0	180
260	193
4	44
0	41
0	117
3	59
0	98
0	170
0	143
11	62
3	36
1	19
2	24
0	33
1	23
0	8
0	0
0	82
0	80
0	70
0	96
0	97
0	40
0	72
0	81
0	52
0	85
0	85
0	58
0	52
0	38
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
1991	175
16	175
1	3
0	0
5	2705
0	299
0	2683
31	2626
47	2489
10	5
19	3
7	2
1	44
0	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	3813
16	102
167	5802
10	2069
737	5831
0	1375
1	5732
0	4500
1	935
2	915
0	0
4	0
0	0
0	0
0	10
211	123
13	99
4	59
5	27
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	37
0	37
0	28
0	6
0	0
3	2800
5	2801
1	2753
8	2692
0	13
0	643
16	1630
0	16
0	460
1	12
6	82
3	4
0	2
0	22
3	73
4	32
0	71
0	1
0	0
0	0
0	7
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
3	1893
22	1577
183	1714
3	1772
4	1293
0	287
0	254
0	179
0	170
0	57
0	29
0	1
1	1
0	109
17	123
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1055	282
9	8
58	274
0	263
0	263
0	264
0	263
0	239
0	185
33	76
0	0
1801	23
0	4
2	23
21	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2446	2627
24	2536
0	1112
200	132
0	57
0	132
0	82
9	0
18	2
0	2
0	1
0	0
0	0
9	0
194	45
7	0
13	305
709	230
0	234
2	0
5	5
0	4
0	0
0	94
0	96
0	7
0	93
0	93
0	17
0	90
0	0
0	97
0	92
0	94
0	49
0	58
0	5
0	0
0	7
0	18
0	0
0	0
0	2
0	58
0	0
0	0
3	0
24	1387
1	1290
3	604
3	1229
3	1392
0	15
0	0
0	0
0	0
632	300
22	300
0	173
0	57
0	0
0	0
22	45
235	301
0	284
24	254
0	1
1	0
8	109
0	400
341	403
0	4
0	6
1	0
0	0
0	0
0	4
1	25
20	25
8	1096
68	1320
0	1317
5	44
0	0
0	98
7	71
0	13
3	130
10	2
0	0
0	0
0	0
0	15038
0	14585
0	4916
51	388
0	3953
3	3898
0	3428
0	3435
0	4802
1	11027
0	0
2	265
0	4278
294	4004
39	3810
60	0
3	2
4	27
0	77
0	75
0	309
0	1
0	0
0	0
0	60
0	0
0	0
0	0
0	0
0	5
0	5
0	3
0	146
0	0
194	433
0	20
0	106
0	87
0	113
0	3
0	132
0	5
0	0
0	2
0	1
0	17
0	15
0	0
12	30
0	0
26	18
2	9
0	14
0	0
634	143
2	42
21	142
0	0
0	0
405	50
0	50
0	0
0	0
0	0
456	540
0	2
18	20
19	518
1	0
1	352
1	74
0	47
0	0
7	0
0	0
74	556
0	905
7	1
0	970
11	763
0	0
0	376
0	2285
0	682
3	902
2	1004
2	338
0	371
1	462
119	3279
0	929
0	455
0	1346
0	900
0	526
1	662
0	708
0	365
3	465
1	13
0	236
0	127
0	135
0	60
3	12
0	4
0	0
0	8
0	208
4	604
0	214
1	9
10	12
7	6
0	23
8	23
0	23
56	80
0	79
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	128
518	311
1	14
0	9
0	173
0	17
2	910
150	964
189	251
0	5
39	15
0	40
1	1
1	24
1	0
5	14
0	58
5	0
0	0
0	0
1	702
3	748
0	1433
0	1487
3	1366
0	1380
0	1415
3	631
6	104
2	61
4	63
6	54
3	1
1	259
1	140
0	0
0	0
0	0
0	0
17	3
0	3
0	0
0	0
372	51
4	50
2	6
19	4
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	1
0	2
0	0
0	0
0	103
0	18
0	129
1	133
1	43
0	30
0	107
0	10
0	12
0	77
5	309
0	437
1	437
0	267
0	155
1	248
0	143
0	196
0	109
0	69
3	9
154	147
0	49
0	108
1	0
1	94
6	48
1	47
13	0
10	157
3	55
1	132
0	106
0	30
0	86
0	30
0	54
0	12
1	2
0	107
0	131
0	1
0	107
0	120
0	106
1	3
95	115
0	0
2	636
0	614
0	617
0	642
0	282
0	219
0	310
0	277
0	210
0	225
0	150
0	41
3	49
0	39
0	39
14	22
0	8
0	3
1	0
0	582
1	627
2	25
1	251
0	228
0	43
0	42
0	66
3	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
263	851
0	848
8	769
0	208
9	86
488	599
0	157
2	174
3	11
0	14
0	2
3	317
0	0
5	9697
0	9686
1	9693
3	2299
2	9434
0	4880
86	427
0	297
0	228
0	9643
0	9410
0	9023
20	1473
0	8650
0	9017
0	9637
3	17
3	9962
0	6
0	178
5	9340
0	9732
0	10060
0	9747
0	9752
0	9614
1	169
2	9199
0	247
0	8203
15	7825
0	5216
0	4920
0	0
0	92
183	256
4	118
4	137
4	6
1	75
0	38
0	0
0	0
0	0
0	25
0	22
0	11
3	25
0	19
0	0
0	0
0	0
0	0
8	452
0	39
1	415
0	1
0	0
0	0
0	0
5	2715
0	2744
0	0
0	2
0	2163
0	668
4	699
3	201
0	31
0	24
0	1295
0	1341
0	458
1	0
0	2
2	2
6	774
0	1
3	26
1	0
0	0
0	0
1	0
0	0
751	191
2	10
3	190
6	6
0	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
609	0
13	0
0	0
12	245
1	242
0	6
0	237
5	85
0	36
5	137
0	107
0	30
0	74
0	24
0	0
0	0
0	0
0	1062
0	1
1	225
1	1062
5	79
0	1
0	2
17	1027
19	1035
0	0
8	61
0	25
0	36
0	0
0	0
0	2
0	43
0	42
2	14
0	7
0	38
0	1
0	38
2	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	22
0	22
0	6
2	2
0	2
2	2
0	67
2	65
0	12
5	64
0	71
1	61
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
154	18
1	18
0	1
0	3
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	196
0	216
4	125
1	154
0	20
0	108
0	71
0	75
0	38
0	15
0	0
3	182
3	436
0	466
0	180
0	476
1	56
0	5
0	3
0	16
0	30
0	0
7	0
1647	0
8	0
2	0
0	0
0	0
2806	861
0	93
0	8
0	425
2	2
2	1
5	660
0	0
23	2561
5	2326
0	23
3	2315
3	382
0	0
0	0
0	0
939	86
0	75
3	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	96
0	0
0	0
0	5
0	2
8	97
1	5
0	19
0	22
0	0
0	3
0	0
25	65
0	11
0	0
180	0
2	108
0	1275
15	1283
0	17
0	14
13	877
2	14
0	0
1	28
0	32
0	418
0	314
2	379
2	28
0	0
2	15
2	4
4	3
1	1
2	82
0	44
0	8
0	89
0	33
0	0
0	0
0	0
0	0
5	0
0	0
20	11572
291	11560
2	11432
228	12866
1	574
149	1810
29	834
0	6
0	2
0	5
0	0
0	4
0	5
0	2
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	1
1	2
0	1
0	2
0	0
0	1
0	1
0	1
116	38
0	1
0	16
1	21
2	0
1	0
0	0
0	15
3	15
1	3
0	0
0	0
0	0
5	0
0	0
0	0
12	1
20	0
0	0
0	0
639	199
1	161
0	161
0	38
0	0
38	372
157	1884
0	98
64	1913
0	2
0	149
0	388
38	1884
0	197
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	36
0	96
12	269
2	0
0	221
0	14
0	7
0	196
1	68
5	206
0	36
4	2
6	0
46	48
2	26
0	0
1	0
1	0
4	36
1	1
1	2
0	2
0	0
0	0
0	0
1	0
391	396
2	343
5	0
13	67
12	32
90	35
0	0
17	168
0	226
47	243
53	249
15	133
3	46
1	22
1	126
0	0
4	6
0	0
1	1
0	220
0	0
0	0
0	0
0	0
0	0
0	35
171	269
0	222
0	119
0	40
0	5
36	25
0	21
0	16
2	15
8	10
6	18
5	21
3	0
0	1
3	11
0	12
2	4
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
26	39
7	16
22	36
9	23
0	20
14	4
0	28
0	28
0	16
1	11
0	0
1	0
0	0
0	31
14	37
2	27
0	0
2	7
0	1
0	0
0	0
1	250
8	346
0	344
4	132
0	79
1	15
5	52
0	11
0	0
0	14
0	32
0	9
0	8
0	18
0	5
2016	2237
2	62
0	61
2	767
0	1479
3	692
0	673
1	295
2994	7142
0	4451
32	4312
2	2422
0	0
