UniqueCount	AmbigCount
0	5
0	0
0	280
0	0
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	0
0	5
1	0
0	1
0	0
0	3
31	0
0	0
3	61
15	24
0	0
22	53
0	0
0	0
0	0
3	272
0	54
0	57
1	43
0	49
0	37
58	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	0
2	0
0	0
0	0
0	18
0	5
0	14
1	10
0	6
1	2
0	1
0	10
0	5
5	5
0	14
3	1
0	0
0	0
0	15
1	4
0	0
0	14
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	67
39	1734
463	10134
1	0
0	12
0	0
124	98
0	75
0	0
3	0
17	107
3	0
0	0
0	0
0	10
0	1
0	2
0	2
0	1
0	2
0	2
0	1
0	2
0	2
0	9
0	2
0	2
0	2
0	0
0	1
0	0
3	0
0	1
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	8
1	0
1	0
0	0
8	1
0	1
1	10
44	2
0	0
0	129
0	143
158	564
60	181
0	718
18	20
0	447
0	589
64	13
4	177
0	583
0	171
0	496
16	0
0	137
5	99
2	13
0	153
0	167
0	181
0	147
0	41
3	57
0	81
0	70
0	173
0	420
0	414
0	458
0	162
0	125
0	155
0	149
0	45
0	175
0	440
0	130
2	45
0	6
0	121
0	41
0	81
7	5
4	0
0	0
2	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
84	513
0	216
2	528
0	0
5	151
3	0
7	2
0	0
0	2
0	0
32	0
0	0
0	0
0	0
0	0
365	3609
0	2973
0	783
0	2857
0	0
1	35
4	32
18	29
0	24
0	21
0	6
8	21
0	0
0	0
0	141
0	133
0	117
0	125
0	7
0	10
0	0
0	0
1	3
1	40
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
2	9
0	9
0	9
0	7
2	9
0	9
0	0
0	3
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	9
0	12
0	12
0	5
0	15
0	2
0	9
0	2
0	3
0	3
0	9
0	11
0	0
3	387
0	350
0	270
4	191
3	143
0	66
0	56
156	0
0	1
0	0
0	1
0	0
1	0
0	0
0	243
6	252
0	246
1	123
3	98
0	91
2	89
4	8
0	74
6	60
0	9
0	18
0	25
0	9
0	7
0	1
0	5
0	0
5	7
11	0
0	0
2	0
0	2
0	1
3	2
0	2
0	0
0	2
0	0
0	0
31	175
9	194
0	137
0	129
1	2
1	18
0	21
1	0
2	41
0	22
16	3
0	5
0	0
0	0
5	4
0	1
0	4
6	5
2	1
0	460
0	671
0	661
0	554
0	140
0	597
0	705
0	559
46	437
4	196
0	464
0	669
0	558
0	486
0	554
0	553
0	163
0	54
0	21
0	399
0	48
0	106
0	121
0	56
0	106
0	163
0	5
0	23
0	152
4	53
0	48
0	100
0	76
1	76
0	3
1	0
0	36
0	123
6	52
5	28
0	28
0	52
0	13
0	13
0	3
0	17
0	0
0	10
0	10
0	0
7	0
4	77
161	93
0	16
11	0
44	2594
109	2352
1	284
0	566
10	53
0	51
16	109
0	0
0	79
0	151
0	221
3	173
0	194
0	15
0	11
0	50
0	0
0	0
1	499
25	484
62	471
129	508
2	39
0	10
0	0
0	123
11	253
2	146
3	80
14	624
0	219
6	349
0	382
0	72
0	214
0	15
1	24
0	34
2	100
0	279
15	5
0	40
14	2
0	13
0	49
0	49
0	64
0	61
0	50
0	60
0	44
0	44
0	51
0	0
0	44
0	54
0	55
0	12
235	484
4	297
8	330
1	2
4	191
9	11
0	4
15	0
0	41
0	37
0	39
0	18
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	98
23	106
3	0
1	6
0	0
0	0
0	90
0	53
34	81
0	5
0	49
15	34
4	1
14	1
0	0
0	187
5	132
0	179
0	148
0	171
0	1
0	10
3	26
2	6
0	6
0	0
292	653
14	543
7	113
198	22
0	3
7	3
0	0
0	0
0	0
188	0
21	788
5	733
0	823
0	806
0	666
2	752
0	742
74	85
5	30
5	756
4	67
0	589
6	105
0	5
3	113
0	816
9	444
1	73
0	737
1	603
1	6
11	13
0	659
0	58
3	6
0	7
3	54
0	153
0	142
3	138
0	92
0	92
0	0
0	7
2	2
0	5
0	5
0	0
0	4
0	4
0	0
0	1
27	219
0	188
0	179
0	164
0	162
0	157
0	157
0	157
0	17
0	0
3	140
6	505
5	496
9	114
16	141
3	0
0	0
0	6
22	94
0	63
0	52
0	44
0	46
0	34
0	48
0	48
0	44
0	41
5	4
0	3
0	1
0	0
0	6
0	2
0	11
0	9
0	12
3	1
0	0
0	0
0	0
46	64
0	0
4	0
0	0
0	0
15	131
4	9
4	112
0	83
5	239
0	212
0	184
0	111
0	1
0	53
0	25
0	11
4	46
0	9
0	7
0	27
1	29
0	45
4	45
0	26
0	0
0	794
0	953
14	985
0	855
0	868
0	953
0	861
0	769
0	953
0	868
0	488
0	879
0	950
0	940
0	940
0	921
0	902
0	802
0	818
0	717
3	796
0	773
0	480
0	449
19	101
1	260
0	174
0	54
0	4
0	17
0	0
0	2
0	2
1	0
0	2
4	0
6	74
11	74
5	56
0	18
15	506
87	517
1	14
102	208
30	63
24	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	11
0	2
0	2
0	2
0	2
0	2
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	9
0	0
0	9
0	6
0	0
0	3
0	0
2	0
0	26
0	26
0	39
0	43
0	20
12	9
0	2
0	18
0	12
1	13
0	12
0	1
0	18
0	0
0	0
0	0
0	4
401	4
0	0
0	0
0	0
0	1
0	1
1	17
0	18
2	16
0	0
3	1
0	1
3	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	710
0	45
5	897
0	198
2	2
0	478
