UniqueCount	AmbigCount
0	4
0	0
6	520
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	6
0	1
0	0
0	0
0	0
0	1
0	0
2	10
0	0
0	0
12	0
0	0
0	14
5	11
1	0
16	30
0	0
0	0
0	0
16	609
0	10
1	34
0	10
0	30
0	3
85	23
0	0
0	0
0	0
0	0
0	0
0	1
0	1
2	0
0	0
4	1
1	0
0	0
0	0
0	31
0	5
1	10
1	14
0	8
0	2
0	3
0	4
0	6
3	0
0	5
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	15
2	2
0	0
0	1
0	3
0	3
6	1
0	4
0	3
0	7
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
28	269
2879	102862
1543	48682
3	0
55	59
3	35
25996	28618
41	172
0	0
0	0
119	90
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
1	4
0	4
0	4
0	4
13	16
0	4
0	4
0	4
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	17
0	0
0	0
0	0
3	2
0	0
4	0
31	0
0	1
0	133
0	157
159	477
4	9
0	466
7	16
0	312
1	499
13	9
1	162
0	497
1	184
0	360
1	0
0	120
0	145
1	9
0	129
0	175
0	192
0	161
0	4
1	72
0	123
0	118
1	187
0	267
0	268
0	324
0	132
0	127
0	147
0	159
0	4
0	186
0	313
0	132
0	4
0	4
0	7
0	4
0	123
0	1
1	4
7	4
1	1
0	0
0	1
1	0
0	0
0	0
2	0
0	0
54	11
0	8
0	3
0	101
4	99
0	3
0	77
0	40
0	47
0	57
0	31
0	48
0	70
1	34
0	0
0	22
0	0
0	2
193	924
5	304
22	852
0	0
24	274
4	0
52	5
4	0
0	5
0	0
0	1
0	1
0	0
0	0
0	0
111	1377
0	1196
0	481
0	887
22	0
7	33
9	28
28	23
2	17
0	35
0	21
53	35
0	0
0	0
0	397
0	361
0	350
0	386
0	7
0	11
0	3
0	0
0	3
5	107
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	45
1	35
0	43
0	45
4	32
0	43
1	43
0	3
0	27
0	11
0	10
0	10
0	0
0	0
0	0
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	6
0	6
0	0
0	0
0	1
0	0
0	0
0	0
0	3
4	10
1	5
1	4
0	24
0	35
0	26
0	44
0	23
0	39
3	7
0	31
0	7
0	10
0	14
0	34
0	24
0	3
31	1092
1	932
0	744
55	503
7	400
0	102
0	161
329	0
1	0
0	0
0	0
1	0
0	0
0	0
1	358
8	413
0	365
10	215
1	210
0	155
2	163
7	6
0	125
1	79
0	3
0	2
0	31
0	28
0	36
0	0
0	0
0	5
1	32
1	0
0	0
7	0
1	96
4	68
4	92
0	93
1	0
0	88
0	0
2	9
92	760
7	861
5	577
0	460
0	1
0	36
0	75
0	3
24	134
0	58
12	32
0	19
0	0
0	0
31	61
1	14
2	4
0	49
4	12
2	528
0	938
0	936
0	778
1	142
0	832
0	969
2	782
60	544
11	248
4	683
0	937
0	780
0	689
0	744
0	827
0	218
1	58
2	45
0	506
0	86
0	145
0	104
3	35
0	78
0	101
0	1
10	17
2	171
3	46
1	60
0	117
0	88
25	98
1	0
2	1
0	40
0	122
0	75
0	46
0	35
0	36
0	10
0	3
0	10
0	14
0	0
0	4
4	4
0	0
2	0
2	136
401	160
2	25
3	0
92	2801
79	2623
4	268
0	540
21	46
2	16
4	68
0	0
1	434
0	694
6	908
9	534
2	805
1	128
0	86
34	140
0	0
0	0
43	1123
69	1070
389	1053
314	1139
6	64
6	15
