UniqueCount	AmbigCount
0	16
0	1
2	2472
0	0
0	10
0	11
0	0
0	8
0	3
0	1
0	0
0	0
0	3
3	72
0	19
6	5
1	17
0	2
0	41
1	7
8	89
4	7
0	58
732	92
1	79
64	677
63	125
22	12
108	247
0	0
0	0
0	0
126	3332
9	336
2	411
0	315
0	319
0	229
284	123
0	0
0	98
0	0
0	0
0	3
0	1
0	1
0	0
0	12
35	55
23	26
0	13
36	1
0	148
0	89
1	204
1	154
0	97
5	62
17	58
0	145
0	84
42	74
0	125
13	65
2	44
3	62
0	216
23	68
0	1
0	26
0	11
0	7
14	108
1	2
1	0
0	30
0	3
0	3
2	1
0	18
0	3
0	57
0	12
0	0
2	12
0	34
0	11
0	14
0	0
0	0
6	607
591	6047
1095	104057
0	0
3	161
0	0
1759	1884
10	1277
0	1
0	7
209	1527
25	44
0	0
0	0
0	119
0	28
0	19
0	21
0	15
0	20
1	24
4	14
0	20
0	19
1	72
0	19
0	20
0	20
0	15
0	20
0	13
15	7
0	14
8	14
0	25
0	0
1	0
0	5
0	5
0	9
0	5
0	5
0	4
0	6
14	84
0	29
11	30
0	0
71	74
0	72
10	2
354	17
0	32
0	839
0	893
839	2966
191	530
0	3286
122	200
0	2186
0	3031
161	155
1	1056
0	3042
1	1100
0	2420
25	86
0	868
3	861
1	159
0	912
0	1091
0	1123
0	918
0	103
22	621
0	695
0	744
3	1103
0	1990
0	1983
0	2166
0	896
0	836
0	946
0	939
3	113
0	1057
0	2105
0	842
2	111
0	92
1	312
0	105
0	695
13	87
13	38
29	38
12	78
0	20
0	73
7	1
0	0
0	0
2	0
0	0
47	30
1	23
0	7
0	136
0	140
0	5
0	124
0	76
0	79
0	89
0	69
0	67
0	119
1	63
2	0
0	22
0	7
0	5
354	4028
17	1624
107	3736
0	0
28	975
34	84
171	67
37	10
19	56
17	0
11	35
2	33
1	36
0	1
0	3
778	13877
0	12098
0	3867
10	10513
32	0
4	120
9	108
42	103
0	73
0	1818
0	986
513	1815
0	2
0	0
0	1817
0	1726
0	1589
0	1680
1	50
1	111
4	29
2	7
3	26
38	442
0	32
1	5
0	5
0	3
0	6
0	5
0	5
2	7
0	7
2	3
0	3
4	0
0	0
0	0
0	250
0	233
0	254
0	265
39	195
0	246
20	264
0	49
1	194
2	91
0	78
0	80
0	39
2	25
1	18
0	17
0	9
8	14
2	4
