UniqueCount	AmbigCount
1	11
0	0
9	1043
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	37
0	0
0	0
0	0
0	0
0	12
0	0
5	53
2	0
0	4
31	9
0	9
1	35
6	8
0	0
12	32
0	0
0	0
0	0
16	1128
1	18
0	61
2	19
0	58
0	12
171	56
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	2
0	0
6	1
1	4
0	0
0	0
0	104
0	32
0	31
6	39
0	23
1	16
2	2
1	20
0	16
12	4
0	6
2	4
1	4
0	3
0	5
0	3
0	0
0	0
0	1
0	0
41	60
1	5
0	0
0	0
1	5
0	5
9	0
0	2
0	4
0	10
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
25	224
1213	41648
2084	61347
0	0
13	23
1	9
7741	12847
20	103
0	0
0	0
433	296
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	4
0	3
0	0
0	0
6	6
0	0
0	0
0	0
0	0
0	1
0	1
5	0
0	1
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	13
0	1
0	1
0	0
7	1
0	1
3	0
22	5
0	1
0	318
0	383
422	1327
14	126
3	1417
16	23
0	865
0	1386
24	12
1	363
0	1359
0	426
0	1037
1	1
3	274
3	309
0	12
0	295
1	423
0	451
0	390
0	18
6	139
0	275
0	272
2	429
0	698
0	755
0	847
0	287
0	308
0	334
0	396
3	23
0	430
1	847
1	313
0	23
0	7
0	83
0	18
0	275
10	3
5	12
17	12
1	2
0	1
0	2
0	0
0	0
0	0
0	0
0	0
79	22
0	19
0	3
0	144
1	142
0	5
4	126
0	65
0	85
0	87
0	53
0	65
0	116
3	58
1	0
0	36
1	1
1	2
386	1686
7	588
66	1558
0	0
56	462
28	7
75	8
9	1
6	7
5	0
5	9
2	7
3	9
0	0
0	0
375	4492
0	4009
0	1739
5	2725
66	0
22	104
12	81
70	80
3	47
0	144
0	84
167	139
0	0
0	0
2	821
0	741
0	697
0	777
0	10
0	11
3	2
0	0
3	6
47	263
0	2
1	1
0	1
0	0
1	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
1	107
2	85
0	100
0	108
29	80
4	101
9	109
0	15
1	59
0	21
0	14
0	14
2	6
2	0
1	0
0	1
0	1
6	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	18
9	31
1	12
0	17
1	45
0	58
0	66
0	79
1	43
2	78
1	18
0	68
0	18
0	22
0	35
0	53
0	45
0	3
111	2940
1	2504
1	2007
147	1400
24	1103
2	260
0	361
525	0
2	0
0	0
5	1
5	2
0	1
3	0
1	812
40	933
0	820
21	511
0	436
0	330
1	304
16	26
0	250
1	228
0	8
0	18
0	43
0	42
1	55
0	2
0	8
0	18
6	39
4	0
0	0
12	0
0	171
7	120
10	165
0	165
0	4
0	164
0	0
2	27
171	1443
21	1587
26	1173
0	877
7	3
0	77
16	149
5	3
103	169
0	54
67	75
1	8
0	0
0	0
24	87
4	13
2	6
0	54
6	37
29	1061
1	1831
0	1830
0	1556
7	277
1	1649
0	1944
1	1556
129	1100
64	476
14	1327
0	1823
0	1554
0	1366
0	1550
0	1638
3	440
5	126
13	91
0	1023
0	177
0	288
0	263
6	106
0	212
0	232
1	8
32	45
5	345
5	100
0	136
0	226
0	159
24	170
4	12
13	1
0	51
0	290
6	183
2	113
0	100
0	50
0	41
0	8
0	31
1	21
0	0
0	4
2	6
0	0
18	0
14	336
1272	414
2	83
41	0
163	7101
215	6595
12	673
0	1378
44	130
3	44
20	166
0	0
1	1131
3	1654
19	2159
9	1292
7	1909
3	348
2	279
82	303
4	3
0	2
67	1578
77	1502
607	1484
436	1587
7	94
3	33
0	0
0	1795
38	2320
6	1889
61	1329
101	3163
2	1992
9	2528
0	2894
1	805
2	1336
7	151
6	126
0	126
17	172
0	652
42	8
1	92
4	0
0	1
5	266
10	264
3	288
0	297
0	263
0	296
0	239
0	236
0	259
0	2
0	238
0	264
0	267
0	97
1149	582
10	215
57	249
20	6
50	372
