UniqueCount	AmbigCount
0	8
0	0
1	275
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	1
0	7
0	1
2	0
0	0
0	0
0	6
1	1
0	1
0	0
0	6
35	2
0	4
15	66
8	12
0	0
18	33
0	0
0	0
0	0
3	249
0	25
0	32
0	26
0	28
0	20
20	8
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	6
1	0
0	0
0	0
0	7
0	2
0	11
2	9
0	3
0	4
1	3
1	8
0	2
7	6
0	9
6	4
0	1
0	0
0	7
1	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	60
31	1681
364	7960
1	0
0	7
0	0
131	138
0	53
0	0
0	1
24	117
4	1
0	0
0	0
0	6
0	5
0	5
0	6
0	4
0	6
0	5
0	5
0	6
0	5
0	11
0	5
0	5
0	5
0	0
0	0
0	1
2	0
0	3
8	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	7
0	0
5	0
0	0
5	16
0	16
2	1
105	0
0	1
0	82
0	91
63	248
22	71
0	315
15	4
0	197
0	255
21	4
0	102
0	251
0	99
0	219
1	1
0	79
1	58
0	4
0	84
0	99
0	104
0	95
0	18
8	48
0	60
0	55
0	95
0	178
0	179
0	202
0	87
0	80
0	91
0	95
0	18
0	107
0	201
0	84
3	18
0	5
0	57
0	18
0	60
4	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	2
0	0
0	2
0	61
1	59
0	2
0	48
0	26
0	27
0	28
0	26
0	14
0	48
2	15
0	1
0	5
0	0
0	2
41	237
6	95
3	226
0	0
1	51
0	0
34	4
9	1
8	3
6	0
14	11
0	11
0	11
0	0
0	0
83	922
0	746
0	200
0	745
1	0
8	44
3	35
5	38
0	20
0	181
0	103
94	181
0	0
0	0
0	233
0	220
0	197
0	210
0	6
0	3
0	3
0	0
0	1
2	73
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	39
0	40
0	43
0	43
5	31
0	37
8	39
0	4
0	22
0	11
0	12
0	12
0	4
0	0
0	4
0	2
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	23
5	35
0	15
0	12
0	33
0	36
0	19
0	48
4	32
0	43
0	18
0	24
0	18
0	21
0	20
0	35
0	32
0	1
0	468
0	391
0	351
5	237
1	194
0	63
0	105
138	0
4	0
0	0
1	0
2	0
0	0
0	0
0	141
4	155
0	141
1	77
0	70
0	56
2	44
0	2
0	39
3	38
0	2
0	10
0	10
0	6
0	12
0	0
0	3
0	1
3	2
5	0
0	0
6	0
0	15
0	12
4	15
0	15
0	0
0	15
0	0
0	6
24	177
14	176
2	117
0	124
0	0
0	27
0	27
0	1
18	42
0	15
14	12
0	6
0	0
0	0
2	18
2	5
0	1
0	5
1	15
3	231
0	365
0	360
0	283
0	106
0	299
0	383
0	283
23	201
0	113
1	236
0	355
0	273
0	226
0	285
0	294
0	57
0	32
3	13
0	194
0	34
0	39
1	47
0	20
0	44
0	92
0	4
0	10
0	101
1	10
1	28
0	75
0	72
5	72
0	3
0	3
0	24
0	80
0	32
1	17
0	6
0	48
0	4
0	4
0	8
0	18
0	0
0	2
0	5
0	0
0	0
0	43
115	52
0	9
15	0
1	1120
36	1017
2	129
0	250
1	26
2	25
2	36
0	0
0	191
2	367
0	429
0	309
1	410
0	62
0	46
5	97
0	0
0	1
4	296
7	289
21	284
76	298
1	16
0	0
0	0
0	109
13	236
0	102
16	61
4	878
0	186
0	311
0	654
0	68
0	204
0	10
0	26
0	18
0	70
0	252
10	8
2	41
2	0
2	9
4	65
0	63
0	83
0	79
0	76
0	77
0	57
0	60
1	65
0	7
0	58
0	57
0	59
0	23
184	318
1	149
3	201
5	4
11	169
1	16
0	0
9	2
0	40
0	38
0	39
0	26
0	10
1	0
0	0
0	0
1	0
0	0
0	0
0	26
0	169
55	195
0	0
2	6
0	0
0	1
5	56
0	48
41	50
0	0
24	33
11	19
0	4
5	4
0	0
0	114
4	84
0	113
0	88
0	103
2	0
0	8
0	20
1	8
0	8
0	0
141	426
4	329
1	98
150	19
0	2
2	2
0	0
5	0
1	0
88	0
7	283
0	255
0	298
0	286
0	258
0	254
0	257
15	26
0	13
0	274
0	16
0	243
4	31
0	1
