UniqueCount	AmbigCount
1	1
0	0
5	728
0	0
0	3
0	0
0	0
0	2
0	2
0	0
0	4
0	4
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	64
0	0
0	1
8	0
0	0
3	3
0	11
0	0
6	11
0	0
0	0
0	0
14	759
0	34
0	51
0	29
0	46
0	28
50	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
0	0
0	0
0	24
0	13
0	14
0	9
0	11
0	3
0	5
0	11
0	4
2	1
0	1
1	0
0	0
0	6
0	3
0	0
0	0
0	0
0	0
0	0
8	75
0	1
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	166
642	25316
544	16169
0	0
14	23
2	2
5503	9375
7	74
0	0
0	0
77	108
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
29	0
0	0
0	228
0	254
309	895
9	66
0	906
9	12
0	621
0	918
8	3
0	271
0	920
0	291
0	752
0	0
0	203
2	229
0	3
0	221
0	280
0	304
0	259
0	4
2	117
0	192
0	202
0	295
0	527
0	557
0	635
0	221
0	224
0	258
0	263
5	13
0	296
0	610
0	234
1	13
0	1
0	46
0	4
0	192
1	3
0	4
6	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	8
0	8
0	3
0	8
0	8
0	8
0	8
0	8
0	3
0	5
0	0
0	0
0	0
0	0
0	0
222	988
10	340
24	901
0	0
36	262
0	1
37	5
4	3
0	2
0	0
1	0
0	0
0	0
0	0
0	0
532	7837
0	6881
0	2731
15	5115
6	0
3	48
9	45
43	32
2	29
0	37
0	19
43	37
0	0
0	0
0	138
0	127
0	119
0	130
0	0
0	8
0	2
0	0
0	5
4	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	15
0	17
0	21
5	9
0	14
0	21
0	4
0	23
0	8
0	7
0	7
0	0
0	2
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
1	8
0	26
0	28
0	33
0	17
0	35
0	6
0	26
0	6
0	6
0	16
0	26
0	8
0	0
45	1529
0	1301
0	1024
66	658
5	528
0	180
0	158
165	0
0	0
0	0
3	0
5	0
0	0
0	0
0	457
24	498
0	473
11	303
0	289
0	177
2	174
2	15
0	174
0	73
0	0
2	9
0	28
0	25
0	24
0	0
1	0
0	7
5	22
5	0
4	0
4	0
0	86
0	70
6	75
0	75
0	0
0	74
0	0
1	11
89	538
4	574
5	395
0	314
0	0
0	35
0	43
0	1
29	85
0	28
4	23
0	2
0	0
0	0
27	62
10	7
1	5
7	49
0	16
0	818
0	1572
0	1557
0	1266
0	240
0	1373
0	1649
2	1268
45	944
7	344
11	1023
0	1567
0	1262
0	1053
0	1264
0	1388
0	351
0	108
7	61
0	862
0	120
0	231
0	217
4	94
2	180
0	265
0	0
9	31
2	350
7	110
0	146
0	257
0	181
28	195
0	2
7	0
0	46
0	275
0	122
0	75
0	92
0	98
0	41
0	13
0	19
0	13
0	0
0	4
0	5
0	0
13	0
12	272
866	324
0	53
0	0
207	9561
222	8884
7	1088
0	2023
43	171
4	48
14	272
0	0
0	353
0	538
0	642
2	389
0	580
0	107
0	94
12	114
0	0
0	0
39	1516
82	1450
339	1449
393	1559
11	91
0	35
0	0
0	781
10	1015
0	876
20	613
42	1258
0	866
6	1090
0	1207
0	350
3	585
3	58
2	29
0	62
3	58
0	209
17	3
0	39
0	1
0	7
0	138
1	138
5	141
0	151
0	140
0	150
1	131
0	131
0	131
0	0
0	131
0	141
0	141
0	42
759	427
2	167
11	192
5	0
32	262
6	12
0	0
15	0
0	95
1	83
1	91
0	43
0	15
0	0
5	0
0	0
0	0
0	0
0	0
0	18
0	208
88	226
0	0
2	11
0	0
0	0
0	164
0	108
26	153
3	10
30	97
29	68
0	3
7	3
0	0
3	636
2	468
0	601
0	496
0	582
0	0
0	34
0	100
4	20
0	20
6	0
820	1193
4	1021
0	170
294	16
0	1
2	1
0	0
5	0
2	0
164	0
97	1864
11	1879
0	2061
0	2048
0	1755
22	1861
0	1766
32	29
7	28
41	1866
13	122
