UniqueCount	AmbigCount
4	12
0	0
26	1373
0	0
0	0
0	1
0	0
0	10
0	7
0	0
0	4
0	4
0	3
13	20
0	0
5	0
3	0
0	0
0	4
2	6
32	204
2	0
0	1
51	1
0	0
7	37
13	5
10	0
26	41
0	0
0	0
0	0
16	1358
2	19
2	68
0	21
0	63
0	15
233	56
0	0
0	8
0	0
0	0
0	0
0	1
0	1
0	0
0	0
13	0
1	0
0	0
0	1
0	100
0	22
0	18
1	29
0	18
0	5
0	5
0	9
0	5
12	2
0	10
0	2
3	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
55	192
0	2
0	0
0	0
0	2
0	2
8	1
0	2
0	2
0	7
0	0
0	0
5	1
0	0
0	0
0	0
0	0
0	0
22	248
914	28051
378	12577
1	0
15	13
1	3
5507	8143
6	54
0	0
0	0
645	402
0	0
0	0
0	0
0	2
0	6
0	4
0	5
0	0
0	5
0	1
0	0
0	5
0	5
0	8
0	5
0	3
0	5
0	1
0	1
0	0
0	0
0	1
0	1
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	15
0	5
0	5
0	0
2	3
0	3
5	0
37	3
0	0
0	102
0	112
117	312
6	51
0	327
12	3
0	239
0	302
7	1
2	115
0	302
0	124
0	247
0	0
0	99
1	93
0	1
0	91
0	120
0	126
0	111
0	5
6	58
0	81
0	90
1	121
0	189
0	203
0	226
0	90
0	101
0	102
0	117
0	7
0	121
0	223
0	96
0	7
0	4
0	28
0	5
0	81
0	1
0	0
0	0
0	6
0	0
0	6
0	0
0	0
0	0
0	0
0	0
97	34
0	27
0	7
0	160
0	156
0	0
3	145
0	60
0	59
0	70
0	54
0	51
0	132
4	34
0	0
0	16
0	4
0	6
244	1030
12	402
129	997
0	0
17	217
37	1
114	16
16	0
14	18
12	2
4	2
0	7
1	7
0	0
0	0
13	307
0	279
0	120
0	180
221	0
84	387
47	309
393	321
10	217
0	299
0	171
295	298
0	0
0	0
0	2139
1	1857
0	1822
0	2104
0	16
0	8
6	13
0	0
1	18
76	993
0	7
0	3
0	1
0	0
0	1
0	1
0	4
0	1
0	4
0	0
0	0
0	0
0	2
0	0
1	254
2	180
0	197
0	219
47	179
0	216
28	264
0	35
0	160
0	23
0	20
0	22
0	4
0	12
0	0
0	1
0	4
20	2
0	1
0	2
0	0
0	0
0	0
0	0
0	0
4	0
0	9
0	9
0	0
0	0
0	1
0	0
0	0
0	0
0	20
20	29
2	9
0	3
2	46
0	74
0	45
0	87
8	63
0	89
0	24
0	43
0	23
0	22
3	29
0	74
0	45
0	0
105	2913
6	2438
1	1964
111	1615
18	1349
1	223
0	296
414	0
1	0
0	0
1	6
16	3
0	3
11	0
0	745
29	810
0	753
7	428
0	361
0	256
13	252
23	29
0	209
0	158
0	19
0	18
0	52
0	22
0	35
0	4
2	4
0	14
5	26
6	0
3	1
7	0
0	242
0	146
10	231
0	232
1	0
0	227
0	0
11	47
61	1282
10	1439
36	1092
0	663
7	7
3	52
4	97
3	1
105	123
0	58
51	29
0	15
0	0
0	0
37	74
10	8
0	4
0	47
1	31
23	921
0	1424
0	1429
0	1258
12	257
0	1343
0	1466
0	1252
89	852
88	431
21	1135
0	1413
0	1252
0	1150
0	1132
0	1231
0	396
11	127
7	61
0	732
0	175
0	226
0	150
23	61
0	117
0	128
0	9
15	27
6	186
3	77
0	84
5	129
0	79
6	85
7	6
13	0
0	30
0	124
1	83
15	58
3	51
0	27
0	16
0	1
0	9
0	8
0	0
0	2
2	4
0	0
8	0
25	148
648	165
8	17
27	0
68	2366
49	2232
0	226
0	417
34	38
0	13
9	42
0	0
9	4448
4	5984
33	7061
68	3848
5	6557
10	1233
13	917
241	913
6	2
0	1
32	734
29	695
268	695
148	728
28	42
10	14
0	0
2	3499
32	4017
1	3483
58	2582
92	4777
9	3647
11	4176
0	4724
0	1352
0	1918
21	282
6	168
0	253
32	104
0	520
10	5
2	79
6	2
0	10
