UniqueCount	AmbigCount
0	1
0	0
0	77
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
0	0
14	0
0	0
3	0
0	0
0	0
0	0
3	48
0	18
0	18
0	16
0	17
0	16
6	9
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
4	122
456	15730
506	18258
0	0
11	5
0	0
4222	5965
7	84
0	0
0	4
30	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
12	0
0	0
0	0
5	0
0	0
0	168
0	173
143	750
11	96
0	799
21	18
0	576
0	771
30	18
0	213
0	766
0	242
0	673
0	0
0	161
8	162
0	18
0	155
10	217
0	245
0	195
0	22
0	76
0	139
0	144
0	213
0	484
0	507
0	580
0	143
0	158
9	179
0	194
0	32
0	223
0	539
0	150
0	32
0	16
0	58
0	22
0	139
0	1
5	15
17	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	374
0	72
7	284
0	0
0	148
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	649
0	598
0	173
0	476
1	0
0	0
0	0
1	0
0	0
0	3
0	3
22	3
0	0
0	0
0	15
0	15
0	15
0	15
0	0
0	0
0	0
0	0
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
1	446
0	381
0	271
26	172
0	117
0	18
0	60
32	0
0	0
0	0
0	0
0	0
0	0
0	0
0	148
4	192
0	148
6	111
0	98
0	119
0	94
0	13
0	77
0	82
0	14
0	0
0	18
0	4
0	19
0	0
0	0
0	0
1	19
7	0
0	0
0	0
0	10
0	10
0	10
0	10
0	0
0	10
0	0
0	0
0	43
0	52
0	23
0	19
0	0
0	0
0	5
0	0
4	12
0	7
0	0
0	0
0	0
0	0
0	10
4	7
0	0
0	10
0	0
0	154
0	317
0	317
0	223
0	48
0	285
0	332
0	223
9	140
0	48
0	197
0	317
0	223
0	203
0	236
0	290
0	38
0	11
0	28
0	190
0	36
0	22
0	35
0	12
0	33
0	50
0	0
6	5
0	105
0	62
0	73
0	59
0	25
0	25
0	0
0	0
0	5
0	38
0	14
0	4
0	3
0	13
0	0
0	0
0	4
0	8
0	0
0	0
0	0
0	0
11	0
4	21
95	46
0	25
1	0
7	1257
17	1153
11	197
0	302
0	22
0	20
6	26
0	0
0	179
0	202
0	217
0	98
0	217
0	79
0	70
8	39
0	0
0	0
20	187
0	187
71	187
51	210
0	24
0	0
0	0
0	252
12	270
0	178
3	128
7	539
0	303
0	384
0	454
0	96
0	146
0	40
0	57
0	44
0	0
0	126
0	0
8	5
0	0
0	0
0	41
0	41
0	31
0	41
0	31
0	41
0	31
0	31
0	31
0	0
0	31
0	41
0	41
0	0
495	171
0	109
0	120
0	0
0	62
0	6
0	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
43	15
0	0
0	0
0	0
0	0
0	32
0	32
0	28
0	0
0	28
0	18
0	0
0	0
0	0
0	78
0	65
0	78
0	66
0	73
0	0
0	13
0	22
0	0
0	0
0	0
238	495
0	439
0	56
171	0
0	0
0	0
0	0
0	0
0	0
56	0
15	301
7	312
0	328
0	320
0	286
1	308
0	294
3	12
0	0
0	257
0	0
0	221
0	12
0	0
0	16
0	320
0	156
0	8
0	289
0	250
6	0
0	0
0	280
0	11
7	1
0	0
0	21
0	76
0	82
0	66
0	7
0	7
0	0
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	418
0	356
14	387
0	302
0	301
0	298
0	298
0	298
0	58
0	0
0	13
0	454
0	453
29	84
0	21
0	0
0	0
0	9
0	225
0	209
10	41
0	113
0	158
0	66
0	133
0	158
0	110
0	114
10	0
0	15
0	0
0	0
9	1
0	0
0	0
0	9
0	1
0	7
0	0
0	0
0	0
29	136
0	0
0	0
0	0
0	0
0	10
0	4
0	9
0	0
0	61
0	61
0	55
0	32
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	993
0	1025
1	1050
0	1016
0	1000
0	1042
0	979
0	812
0	1042
6	1000
0	692
0	987
0	1025
0	1012
0	1012
0	912
0	896
0	835
0	766
0	736
0	749
0	726
0	345
0	319
2	89
0	233
0	56
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
39	155
124	155
42	39
12	17
10	443
27	437
0	17
74	86
45	37
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	21
0	30
0	21
0	21
0	21
0	47
0	38
0	38
0	38
0	4
0	21
0	0
0	0
0	0
0	0
121	0
0	0
0	0
0	0
0	8
0	8
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
8	533
0	32
19	777
0	178
0	0
0	345
0	109
14	290
0	13
0	141
0	168
0	113
0	120
0	11
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	220
0	177
0	128
0	9
0	6
2	0
0	0
0	11
0	87
0	9
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	5
0	5
0	0
0	19
0	19
0	19
0	19
0	19
0	55
0	28
0	8
0	8
0	19
0	10
0	38
0	0
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	23
0	23
0	23
0	10
0	23
0	0
0	0
0	0
0	0
0	23
0	0
0	23
0	0
0	6
0	6
0	6
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	0
0	10
0	10
0	10
0	5
0	0
0	10
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	70
0	86
0	47
0	0
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
209	800
0	800
4	75
8	75
23	0
0	35
0	25
0	14
0	0
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	9
0	84
0	89
0	165
28	307
0	77
0	0
0	145
0	0
0	133
0	150
0	266
0	208
0	47
0	57
0	126
0	99
0	161
2	195
0	64
0	10
0	1
0	6
0	109
0	91
0	0
0	108
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
569	147
4	147
0	0
0	0
0	0
0	68
0	74
0	89
0	87
0	78
0	89
0	86
0	85
0	95
0	72
0	57
0	74
0	86
0	56
0	59
0	80
0	9
0	41
0	19
0	41
0	0
0	0
0	22
0	18
0	18
0	3
0	3
0	21
0	21
0	21
0	21
0	21
0	21
0	21
0	18
14	0
0	0
0	104
5	81
0	104
0	104
0	81
0	81
0	81
0	81
0	81
0	64
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	26
0	26
0	26
0	0
0	0
0	0
0	26
0	0
0	7
0	7
0	14
0	7
0	14
0	0
0	7
0	0
0	0
0	0
0	7
0	0
0	7
0	7
0	7
0	0
0	7
0	7
0	0
0	14
0	7
0	0
0	14
0	0
0	7
0	14
0	7
0	0
0	0
0	0
0	0
0	0
0	7
0	14
0	14
0	14
0	7
0	0
0	0
0	0
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	154
3881	2021
0	1986
0	1792
0	1001
0	711
0	154
0	154
0	0
0	0
6	6
0	0
0	0
0	6
0	0
0	0
0	0
0	0
685	1313
0	6
12	1315
0	345
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
3	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	17
0	17
0	17
0	17
0	17
0	15
0	17
0	17
0	17
0	17
0	17
0	17
0	17
0	17
0	17
0	0
0	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
207	22
0	19
12	4
6	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	68
0	19
6	8
0	0
0	49
29	9
0	40
0	24
0	775
17	730
0	126
0	90
0	50
89	6
0	6
0	30
0	0
0	15
0	8
0	9
10	5
0	20
0	0
0	78
0	487
0	446
0	321
0	352
0	431
0	414
0	398
0	420
0	226
0	253
0	326
0	394
0	242
9	309
0	68
0	37
0	51
0	6
0	51
0	6
0	51
0	21
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	165
55	91
0	70
0	76
124	234
0	17
0	19
0	47
0	43
0	123
0	62
0	47
0	64
0	69
0	31
0	29
0	38
1	29
0	30
0	0
0	47
0	47
0	47
0	47
0	47
0	38
0	47
0	47
0	47
0	47
0	47
0	38
0	53
0	32
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1954	164
0	164
0	1
0	0
0	1195
0	92
0	1191
26	1161
0	1107
0	7
14	0
0	0
0	31
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	1333
0	53
62	2261
0	922
273	2227
12	412
2	2219
0	1560
0	259
0	415
0	0
9	0
0	0
0	0
0	21
302	124
10	103
6	84
0	43
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	9
0	9
0	9
0	0
0	0
0	809
0	809
0	779
0	769
0	3
0	193
9	295
0	5
0	98
0	0
0	7
0	0
0	0
0	10
0	26
0	10
0	26
0	0
0	3
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	1502
8	1307
214	1409
4	1438
11	991
0	190
0	114
0	50
0	101
0	13
0	49
0	1
0	1
0	71
0	71
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1176	232
14	17
25	215
0	215
0	215
0	215
0	215
0	200
0	142
0	62
0	0
486	8
0	0
0	8
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
447	416
3	411
0	159
116	60
0	33
0	60
0	33
0	0
7	5
0	5
0	0
0	0
0	0
0	0
125	71
0	0
1	35
130	26
0	29
0	0
0	0
0	0
0	0
0	8
0	8
0	0
0	8
0	8
0	0
0	8
0	0
0	8
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	247
0	233
0	167
0	236
0	247
0	0
0	0
0	0
0	0
199	115
2	115
0	56
0	2
0	0
0	0
0	24
225	195
0	195
11	136
0	1
0	0
0	73
0	272
204	273
9	5
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	474
16	654
0	654
0	47
0	6
0	43
0	16
0	0
0	22
0	0
0	0
0	0
0	0
0	17850
0	17483
0	2595
34	212
0	2071
0	2067
0	1885
0	1885
0	2536
0	10912
0	3
0	157
0	2293
230	2107
43	2024
8	9
0	0
0	13
0	11
0	11
0	168
0	0
0	0
0	24
0	83
0	0
0	0
0	0
0	0
8	34
0	34
0	29
0	36
0	0
110	125
0	0
0	45
0	10
0	40
0	2
0	28
0	8
0	0
0	0
0	0
0	0
0	0
0	0
10	10
0	0
15	0
0	0
0	10
0	0
241	47
0	0
16	47
0	0
0	0
74	24
0	24
0	0
0	0
0	0
72	127
0	0
0	23
0	104
0	0
0	65
0	20
0	0
0	0
0	0
0	0
23	108
0	153
0	1
0	164
15	115
0	0
0	237
0	1522
0	353
0	420
0	498
0	133
0	241
10	270
60	2356
0	452
0	151
0	1081
0	490
0	310
0	344
0	344
0	195
0	284
0	23
0	77
0	34
0	26
0	8
0	1
0	7
0	8
0	0
0	91
0	540
0	230
0	4
0	19
4	0
0	50
0	21
0	17
37	33
0	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
71	47
0	1
0	0
0	25
0	0
0	282
17	282
15	96
0	3
3	0
0	9
0	2
0	0
0	0
0	1
0	13
0	0
0	0
0	0
15	550
21	587
7	984
0	1003
0	957
0	953
0	960
6	478
0	119
0	69
0	55
9	7
0	0
0	108
5	103
0	0
0	0
0	0
0	0
64	6
0	6
0	0
0	0
189	34
0	34
1	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	32
0	2
0	43
0	48
0	8
0	9
0	37
0	7
1	1
0	37
2	77
0	125
0	125
0	94
0	64
0	95
0	27
0	78
0	40
0	23
0	0
16	19
0	7
0	19
0	0
0	42
0	2
0	2
0	0
0	56
0	13
0	53
0	26
0	11
0	24
0	11
0	13
0	2
0	0
0	2
0	12
0	0
0	2
0	12
0	6
0	0
7	6
0	0
0	223
0	225
0	215
0	223
0	91
0	38
0	95
0	85
0	45
0	62
0	53
0	4
0	4
0	4
0	14
0	4
0	0
0	0
0	0
0	116
0	122
0	6
0	46
0	35
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
129	370
0	368
10	328
0	25
0	8
196	184
0	22
0	22
0	0
0	0
0	0
6	159
0	0
0	5076
0	5071
0	5067
0	1053
0	4938
0	2385
23	241
0	181
0	202
0	5059
0	5118
0	4902
9	768
0	4713
0	4614
0	5059
0	0
0	5163
0	22
0	111
0	4850
0	5121
0	5274
0	5133
0	5133
0	5020
0	127
0	4735
0	128
0	4345
0	4246
0	2908
0	2677
0	0
0	82
24	135
0	77
0	53
0	0
0	12
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	162
0	6
0	156
0	14
0	0
0	0
0	0
0	1839
0	1881
0	0
0	0
0	1409
0	366
0	429
0	132
0	0
0	15
0	851
0	1003
0	281
0	0
0	22
0	22
0	610
0	0
0	14
4	0
0	0
0	0
0	0
0	0
225	21
0	0
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
0	0
0	0
0	16
0	16
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	20
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
177	0
0	0
0	0
7	322
6	303
0	0
0	322
0	129
0	37
0	141
0	131
0	37
11	91
0	47
0	0
0	0
0	0
0	490
0	0
0	61
0	490
0	8
0	0
0	0
61	544
9	539
0	0
0	3
0	1
0	0
0	0
0	0
0	0
0	7
0	7
0	12
0	0
0	30
0	0
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
38	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	141
0	141
0	55
0	77
0	13
0	58
0	27
0	58
0	25
0	0
0	0
0	60
0	368
0	375
0	57
0	379
0	6
0	3
0	3
0	1
0	41
0	0
5	0
313	0
1	0
0	0
0	0
0	0
1812	348
0	0
0	0
0	123
11	0
10	0
29	328
0	0
8	891
0	795
0	27
0	825
0	124
0	0
0	0
0	0
97	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	33
0	0
0	0
0	0
0	0
0	33
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
92	0
0	41
0	504
3	515
0	12
0	21
0	312
3	8
0	0
0	12
0	12
0	89
0	58
0	82
0	19
0	0
0	0
0	0
7	0
0	0
0	20
0	0
0	0
0	31
0	15
0	0
0	0
0	0
0	0
0	0
0	0
36	10154
84	10024
0	9979
154	10907
0	571
97	1340
9	647
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
408	154
5	142
0	142
0	12
0	0
6	180
20	1094
0	19
6	1097
0	8
7	25
0	186
1	1086
0	60
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	42
0	0
0	42
0	0
0	0
0	16
0	9
0	42
0	0
0	0
0	0
17	0
0	0
0	0
0	0
0	0
13	0
7	187
0	0
0	0
0	0
0	0
0	0
0	0
165	77
0	76
0	0
0	99
28	99
35	0
0	0
2	73
0	86
0	86
9	86
8	22
0	0
0	0
0	22
0	0
0	8
0	0
0	0
1	140
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
19	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	15
0	0
0	0
0	0
0	15
0	15
0	0
0	0
0	0
0	0
0	0
0	6
0	6
10	6
0	0
0	0
0	0
0	0
0	0
0	33
0	35
0	35
0	23
0	16
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1050	1063
0	61
0	61
0	249
0	836
0	392
0	388
0	58
1276	2767
0	2014
11	1751
0	696
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
70	44
0	11
0	33
0	0
0	492
8	453
0	0
0	447
0	447
0	323
0	0
0	0
0	133
0	0
0	0
0	0
