UniqueCount	AmbigCount
0	8
0	0
6	1247
0	0
0	3
0	0
0	0
0	2
0	1
0	0
0	0
0	0
0	0
1	22
0	2
0	0
0	1
0	1
0	10
0	0
2	65
4	0
0	5
60	3
0	4
3	45
4	8
0	0
18	32
0	0
0	0
0	0
28	1307
4	30
6	71
0	33
0	66
0	19
186	52
0	0
0	1
0	0
0	0
0	0
0	1
0	1
0	2
0	0
3	2
2	1
0	1
1	0
0	104
0	28
1	39
4	40
0	55
0	16
0	7
0	23
0	26
10	5
0	13
2	7
1	3
1	1
0	7
1	2
0	0
0	0
0	0
0	0
48	65
2	2
0	0
0	2
0	3
0	3
4	0
0	3
0	3
0	7
0	0
0	0
0	1
0	0
0	0
0	1
0	0
0	0
11	139
64	4144
445	15912
0	0
9	9
1	12
3873	6755
13	46
0	0
0	0
510	320
1	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	3
3	4
0	3
0	0
0	3
0	0
0	1
0	0
2	0
0	1
1	1
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	9
0	4
0	4
0	0
4	2
0	2
7	1
28	1
0	0
0	268
0	299
439	1142
12	137
2	1207
12	14
0	724
0	1178
6	10
0	318
0	1161
1	342
0	868
1	1
0	240
2	221
0	7
0	247
0	325
1	352
0	309
1	22
5	118
0	192
0	198
0	331
0	609
0	655
0	709
0	257
1	260
0	295
2	305
2	24
1	339
0	694
0	259
2	24
0	5
0	99
0	22
0	192
10	0
0	15
7	15
0	6
0	0
0	4
0	0
0	0
0	0
3	0
0	0
39	12
0	7
0	5
0	61
0	57
0	5
0	60
0	27
0	34
0	40
0	23
0	33
0	47
2	24
2	0
0	13
2	1
1	1
368	1860
7	663
94	1714
2	0
71	492
23	2
93	25
24	3
17	22
7	0
11	11
0	9
3	9
0	0
0	1
266	2612
0	2313
0	1003
5	1578
46	0
26	97
16	87
63	79
3	61
0	307
0	202
439	303
0	0
0	0
0	1088
0	984
0	936
0	1040
0	5
0	23
1	4
0	0
4	7
49	342
0	0
0	4
0	4
0	0
0	4
3	4
0	4
0	4
0	4
0	2
0	0
0	0
0	0
0	0
0	166
0	130
4	150
0	157
31	138
2	148
11	168
0	15
1	92
0	21
0	16
0	17
0	6
1	3
0	0
0	1
0	0
6	1
2	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
0	14
0	14
0	0
0	1
0	3
0	0
0	0
0	0
0	35
36	77
4	34
0	32
5	48
0	67
0	94
0	101
1	66
0	109
0	28
0	86
0	23
0	27
0	52
0	63
2	39
0	1
111	3134
1	2676
6	2136
125	1507
27	1198
0	282
0	333
563	0
6	1
0	1
10	1
3	0
2	0
4	0
1	790
37	913
0	796
18	486
0	434
0	323
6	276
29	22
0	219
2	200
0	10
0	12
0	35
0	30
1	48
0	0
0	1
0	20
6	31
8	2
2	1
7	1
0	144
1	105
14	144
0	145
0	9
0	129
0	0
3	28
211	1789
26	1993
41	1487
0	1050
13	4
2	92
10	173
8	3
119	212
0	96
84	80
0	14
0	0
0	0
54	108
8	17
4	6
1	79
4	31
13	1026
0	1817
0	1815
0	1549
5	295
1	1651
0	1931
0	1552
107	1118
74	513
17	1355
0	1813
0	1551
0	1346
0	1518
0	1595
3	463
3	107
7	82
0	1037
0	163
0	295
0	219
12	92
0	202
0	220
2	6
24	29
2	295
1	83
0	100
0	188
1	147
23	166
7	3
7	1
0	56
1	332
3	232
3	135
2	117
6	59
0	31
0	8
0	43
0	18
0	1
0	2
2	8
0	0
26	0
11	302
1099	371
3	72
39	0
225	8151
259	7631
14	742
0	1536
38	155
3	40
23	170
0	0
6	1159
4	1766
15	2320
37	1391
5	2030
8	434
5	337
92	315
4	0
0	1
61	1349
77	1253
504	1251
401	1374
21	111
7	29
0	0
0	1859
40	2332
8	1966
44	1342
64	3195
8	2148
9	2605
0	2974
0	850
0	1328
5	195
6	119
1	136
21	148
0	590
32	4
3	65
6	2
0	10
10	271
4	275
3	284
0	298
0	269
0	297
1	250
0	251
0	264
0	2
0	250
0	272
0	272
0	99
1103	519
6	192
38	219
22	3
48	329
3	18
0	2
34	3
0	163
1	129
6	143
0	99
9	34
3	0
2	0
7	2
3	0
0	2
1	2
1	46
3	578
151	624
1	4
18	13
0	0
0	3
5	465
0	333
67	436
6	18
44	277
120	168
3	1
8	1
0	0
5	745
15	507
0	706
0	604
0	669
0	1
2	26
0	108
12	16
0	16
13	0
1414	1425
18	1283
0	141
547	11
0	1
16	1
0	0
18	0
