UniqueCount	AmbigCount
3	23
0	2
0	2202
0	0
0	19
0	10
0	0
0	3
0	0
0	0
0	0
0	0
0	0
1	25
0	4
0	0
0	3
0	1
0	20
2	31
9	211
11	2
0	8
100	4
0	4
21	85
4	59
7	0
99	119
0	0
0	0
0	2
28	2471
0	32
2	57
3	34
0	50
0	16
217	40
0	0
0	8
0	1
0	0
0	1
0	1
0	1
0	0
0	6
8	13
3	7
0	1
0	2
0	136
0	77
0	108
3	65
0	54
2	28
0	7
0	53
0	50
20	19
0	35
6	5
3	0
0	1
0	19
2	0
0	0
0	3
0	6
0	8
87	232
0	1
0	0
0	4
0	13
0	6
5	0
0	4
0	1
3	20
0	6
0	0
0	0
0	10
0	6
0	1
0	0
0	0
34	2778
383	30149
4151	19939
0	5
2	117
0	1
12885	15554
8	155
0	0
1	3
838	779
6	6
0	0
0	0
0	9
0	2
0	10
0	10
0	2
0	10
0	3
0	2
0	10
0	8
5	25
0	5
0	7
0	8
0	0
0	0
0	0
8	0
0	1
0	1
0	1
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	64
0	0
0	0
0	0
10	0
0	0
6	0
77	0
0	1
0	383
0	433
530	1849
10	100
0	1791
10	58
0	1122
0	1875
14	54
0	469
0	1886
5	481
0	1229
5	4
1	368
0	372
0	46
0	418
0	451
0	481
0	433
0	12
12	251
0	341
0	338
0	481
0	983
0	1044
0	1118
0	394
0	380
0	430
0	444
2	22
0	482
4	1108
0	409
0	17
0	10
0	56
0	12
0	341
6	9
10	23
18	23
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
39	44
0	33
0	11
0	619
0	620
0	2
2	608
0	42
0	47
0	48
0	39
0	40
0	608
2	36
0	0
0	25
0	9
0	13
491	3045
3	1763
101	2919
0	0
29	529
19	13
229	46
7	12
10	34
8	0
23	2814
0	26
0	29
0	0
0	10
529	9785
0	8956
14	5110
7	4928
53	0
30	279
29	190
116	253
3	151
0	1939
0	852
801	1922
0	0
0	0
4	1099
0	986
0	959
0	1072
0	13
0	5
6	1
0	0
3	6
32	644
0	16
0	32
0	30
0	13
0	28
0	30
0	30
0	30
0	28
0	9
0	22
2	0
0	4
0	0
0	321
0	275
0	299
0	322
29	272
0	314
10	335
0	39
2	184
0	37
0	34
0	34
0	10
2	4
0	4
0	0
0	7
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	171
40	273
7	101
5	58
10	193
0	208
0	206
0	261
9	182
0	256
0	127
0	211
0	124
0	124
0	160
0	205
0	192
0	7
8	4335
0	3904
3	3374
226	2593
60	2106
0	683
0	644
1024	0
6	16
18	12
8	26
14	6
3	6
4	0
1	1816
37	1928
0	1840
40	1010
0	1017
0	598
2	662
9	71
0	485
0	277
0	35
0	71
1	154
0	142
0	195
