UniqueCount	AmbigCount
0	16
0	0
7	659
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	0
0	0
0	0
0	10
0	0
6	46
0	0
0	0
29	0
0	0
2	34
1	0
1	0
5	5
0	0
0	0
0	0
6	714
7	15
2	33
0	9
0	24
0	7
55	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	2
3	2
0	0
0	0
0	49
0	18
0	14
1	19
0	25
2	9
1	2
0	15
0	11
7	1
0	5
0	5
0	1
1	1
0	1
0	0
0	0
0	2
0	0
0	0
13	49
0	1
0	0
0	0
0	1
0	1
1	1
0	0
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	334
2066	65594
972	33951
1	0
31	41
2	29
13780	19657
31	118
0	0
0	0
211	196
3	0
0	0
0	0
0	6
0	2
0	1
0	1
0	1
0	1
4	1
0	1
0	1
0	1
2	15
0	1
0	1
0	1
0	1
0	2
0	2
5	0
0	0
1	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	18
0	2
1	2
0	0
4	1
0	1
14	0
10	1
0	4
2	249
0	304
392	1044
31	122
0	1103
19	16
0	712
0	1084
11	11
1	300
0	1053
4	346
0	813
1	0
4	218
0	262
3	16
0	249
0	339
2	364
0	306
0	13
8	118
0	232
0	231
2	348
0	585
0	611
0	716
0	233
0	251
0	281
1	314
2	20
0	346
0	698
0	263
1	20
0	10
0	83
0	19
0	232
2	4
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
7	2
0	2
0	0
0	15
0	15
0	0
0	12
0	8
0	10
0	10
0	7
0	5
0	11
0	6
0	0
0	2
0	1
0	0
190	945
5	289
28	860
0	0
19	259
2	1
22	4
2	0
1	4
3	0
2	2
0	2
0	1
0	0
0	0
318	3970
0	3472
4	1528
7	2399
9	0
7	80
17	79
60	62
9	48
0	78
0	39
114	75
0	0
0	0
3	714
0	655
0	624
0	683
0	9
1	20
0	3
0	0
0	6
3	178
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	60
2	52
2	57
0	59
12	48
0	55
3	60
0	5
0	36
0	9
0	7
0	8
2	4
0	3
0	0
0	4
0	4
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	3
0	3
0	0
0	0
0	1
0	0
0	0
0	0
0	1
0	3
1	0
0	3
0	23
0	41
0	38
0	53
1	37
0	47
0	11
0	44
0	10
0	11
1	27
0	41
0	22
0	3
79	1726
2	1510
4	1180
31	694
4	562
0	143
0	212
374	0
0	1
1	0
3	2
1	1
2	0
4	0
1	469
22	547
0	478
5	308
3	304
0	198
1	192
2	15
0	152
0	120
0	6
0	8
0	41
0	33
0	50
0	1
3	2
0	14
7	33
2	0
0	0
8	0
1	79
0	60
0	74
0	75
0	1
0	67
0	0
3	14
33	568
18	638
3	464
0	357
0	4
1	27
1	52
2	1
20	81
1	36
13	22
0	7
0	0
0	0
41	79
1	14
6	1
6	47
3	34
3	645
0	1169
0	1172
0	968
0	184
0	1036
0	1245
2	972
27	698
13	279
1	843
0	1169
0	970
0	835
0	978
0	1036
0	270
2	62
12	48
1	671
0	111
0	181
0	135
4	55
0	104
0	166
0	3
10	24
0	244
3	62
1	81
1	160
0	118
11	126
2	4
1	2
0	33
0	193
2	95
1	41
0	68
0	65
0	24
0	3
0	21
1	11
0	0
0	0
3	1
0	0
3	0
9	141
509	169
4	28
6	0
105	4120
88	3877
3	332
0	724
27	86
0	16
8	74
0	0
2	878
0	1473
20	1965
31	1207
0	1749
4	269
2	197
47	290
0	1
0	0
35	1304
63	1231
479	1220
407	1332
6	93
5	25
0	0
0	1002
25	1287
9	1037
10	715
44	1610
1	1061
10	1330
0	1494
2	457
2	722
8	87
7	67
0	71
19	72
0	318
12	4
2	54
1	2
0	4
0	176
5	180
2	199
0	201
0	189
0	201
0	166
0	170
0	179
0	3
0	166
0	171
0	174
0	64
1007	529
1	207
33	230
5	1
13	323
0	10
0	1
8	1
1	111
2	91
1	95
0	61
1	15
3	0
4	0
0	1
0	0
0	0
3	1
0	29
1	324
102	353
2	1
9	4
0	0
2	0
0	202
0	142
33	185
0	11
32	101
34	69
1	0
10	0
0	0
1	375
1	254
0	343
0	286
0	334
0	0
0	17
4	40
7	15
0	15
5	0
829	930
48	839
0	91
568	7
0	0
7	0
0	0
6	0
0	0
348	0
34	1225
13	1236
0	1343
0	1331
0	1127
4	1205
0	1176
7	23
2	25
27	1140
6	82
1	926
4	33
1	2
4	100
0	1325
0	629
0	62
1	1138
3	957
0	5
4	6
0	1016
0	60
2	3
0	11
9	94
1	277
0	309
3	252
0	47
2	48
1	4
2	67
11	24
4	54
0	39
0	13
0	24
0	22
3	0
1	0
30	1766
1	1500
4	1682
0	1193
0	1154
0	1196
0	1196
