UniqueCount	AmbigCount
0	7
0	0
3	638
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	25
0	4
0	0
0	1
0	0
0	6
0	0
3	26
0	0
0	1
23	0
0	0
2	35
9	24
0	0
27	78
0	0
0	0
0	0
9	649
1	26
4	108
0	29
0	98
0	10
323	100
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
9	8
0	0
0	0
4	0
0	53
0	21
0	22
3	14
0	27
2	13
0	4
0	18
0	15
9	2
0	4
3	2
0	1
0	0
0	6
0	0
0	0
0	0
0	0
0	0
22	29
1	7
0	0
0	4
0	7
0	7
0	0
0	7
0	7
1	10
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
35	267
2240	104446
1430	43986
2	0
37	59
3	26
21703	36631
41	201
0	0
0	0
189	168
0	4
0	0
1	0
0	2
0	2
0	3
0	3
0	1
0	3
0	2
0	2
0	3
0	1
3	10
0	1
0	1
0	3
0	1
0	1
0	1
2	0
0	0
1	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	12
0	2
0	2
0	0
5	1
0	1
2	0
17	3
0	2
0	214
0	246
306	890
29	146
2	992
21	17
0	600
0	903
16	10
3	246
0	904
3	274
0	691
4	1
0	197
4	183
1	11
0	203
0	273
0	290
0	248
0	26
14	96
0	163
0	161
0	275
0	517
0	537
0	590
0	198
0	208
0	237
1	250
1	34
1	278
0	588
0	216
2	34
0	4
0	98
0	26
0	163
7	1
2	5
3	5
3	7
0	0
0	7
0	0
0	0
0	0
0	0
0	0
10	3
0	2
0	1
0	10
0	10
0	0
0	8
0	3
0	3
0	3
0	2
0	2
0	7
1	3
0	0
0	0
0	0
0	0
215	846
3	284
24	759
0	0
41	229
8	1
26	7
5	0
2	7
1	0
3	0
0	0
2	0
0	0
0	0
161	1859
0	1644
1	751
3	1088
9	0
7	34
10	34
33	27
1	22
1	58
0	29
66	57
0	0
0	0
1	329
0	287
0	277
0	319
0	4
0	5
1	1
0	0
1	2
4	80
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	41
1	38
0	45
0	47
9	32
0	39
4	41
0	8
0	31
0	10
0	10
0	10
0	3
1	1
2	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	19
0	19
0	0
0	0
0	6
0	0
0	0
0	0
0	2
1	9
1	3
0	6
0	22
0	29
0	26
0	47
0	34
0	35
0	14
0	39
0	14
0	16
0	30
0	28
0	22
0	2
27	1164
0	1012
1	777
43	499
13	398
2	108
0	164
307	0
1	0
0	0
2	1
0	3
0	4
0	0
0	361
15	414
0	367
7	237
0	224
0	180
2	186
7	15
0	157
0	110
0	6
0	18
0	35
0	31
0	48
0	0
0	1
0	4
3	41
0	0
1	0
10	0
0	78
0	53
3	76
1	80
0	2
0	74
0	0
3	6
61	521
20	601
2	426
0	316
0	0
0	27
0	63
2	0
14	86
0	54
15	20
1	12
0	0
0	0
21	46
1	13
0	2
0	30
0	17
2	576
0	1010
0	1012
0	846
2	147
0	903
0	1054
3	853
58	624
12	242
1	716
0	1009
0	854
0	757
0	854
0	914
0	276
2	69
1	35
0	561
0	93
0	192
0	158
3	58
0	129
0	177
1	1
14	25
0	175
4	45
2	64
1	124
0	95
17	106
0	2
2	0
0	50
0	189
4	129
5	70
0	62
0	56
0	17
0	7
0	20
2	14
0	0
0	2
2	4
0	0
4	0
8	136
396	178
4	46
1	0
47	3053
73	2822
4	312
0	602
15	59
3	29
12	92
0	0
0	468
0	724
1	932
14	587
0	833
0	145
0	119
36	156
1	0
0	0
40	1227
63	1168
427	1154
433	1229
13	54
3	20
0	0
2	1340
12	1576
5	1303
26	923
43	2483
8	1534
11	1832
0	2153
1	641
1	943
10	129
7	104
1	138
20	151
0	533
15	8
2	70
13	0
1	5
2	127
2	126
0	147
0	153
1	143
0	152
0	118
0	118
0	119
0	1
0	119
0	126
0	126
0	45
1128	672
5	270
17	314
5	1
16	403
7	15
0	1
42	1
0	93
0	79
0	80
0	45
5	14
2	0
1	0
0	0
0	0
0	0
4	0
0	21
0	202
72	223
1	0
0	4
0	0
0	0
2	151
0	97
19	138
0	12
33	95
12	51
0	3
19	1
0	2
0	328
3	203
0	297
1	252
0	288
1	2
1	22
4	38
4	12
0	12
2	0
816	1170
14	1039
0	131
348	9
0	0
10	0
0	0
10	0
3	0
315	0
25	929
2	880
0	969
0	940
0	795
4	842
0	840
7	16
2	16
6	859
17	61
0	706
2	22
0	1
2	75
0	942
0	462
1	32
0	818
3	657
1	1
0	5
0	762
2	82
0	5
0	16
3	83
0	179
0	215
0	172
