UniqueCount	AmbigCount
1	28
0	0
2	735
0	0
0	1
0	8
0	0
0	8
0	4
0	0
0	0
0	0
0	0
2	8
0	0
2	0
0	3
0	0
0	3
0	0
5	62
0	1
0	0
11	0
0	0
2	7
2	5
0	0
23	23
0	0
0	0
0	0
14	990
6	16
2	28
0	11
0	20
0	7
66	13
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
1	0
0	25
0	15
0	12
0	6
0	11
0	4
0	0
0	8
0	4
1	1
0	1
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
29	66
0	1
0	0
0	0
0	3
0	3
0	0
0	2
0	3
0	5
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	183
5351	16487
494	16852
1	0
11	19
1	3
5325	8997
7	84
0	0
0	0
326	140
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	11
0	0
0	0
0	0
8	0
0	0
1	1
38	0
0	0
0	52
0	58
46	242
0	32
0	257
6	1
0	149
0	244
0	0
0	58
0	244
4	61
0	158
1	0
0	47
0	45
1	0
0	44
0	62
0	68
0	58
0	3
0	27
0	43
0	43
2	60
0	133
0	142
0	144
0	47
0	52
0	61
0	58
0	3
0	68
0	147
0	53
1	3
0	0
0	18
0	3
0	43
3	0
2	0
4	0
0	3
0	0
0	3
0	0
0	0
0	0
0	0
0	0
23	21
0	20
0	1
0	75
0	76
0	0
0	66
0	33
0	37
0	44
0	29
0	23
0	72
2	20
0	0
0	11
0	3
1	1
257	1321
5	576
45	1326
0	0
19	222
14	0
61	9
12	6
3	3
6	0
9	3
0	3
0	3
0	0
0	0
8	185
0	177
0	109
0	75
17	0
5	43
8	35
39	34
4	23
1	63
0	29
79	62
0	0
0	0
0	325
0	291
0	288
0	322
0	3
0	0
0	1
0	0
0	0
8	171
0	0
0	0
0	0
0	0
0	2
0	0
0	4
0	2
0	6
0	0
0	0
0	0
0	0
1	0
1	92
2	76
1	79
0	88
4	72
0	85
0	93
0	10
0	53
0	6
0	7
0	7
0	4
3	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	7
1	3
0	4
1	13
0	30
0	28
0	33
0	17
0	32
0	4
0	29
0	4
0	5
0	13
0	27
0	11
0	3
78	1601
1	1338
1	1042
49	779
5	624
0	139
0	183
946	0
0	2
1	1
12	2
3	0
9	0
7	0
0	697
15	763
0	708
9	485
3	398
0	254
2	221
20	35
0	186
2	124
0	8
0	4
0	28
0	20
0	26
1	1
0	2
0	4
0	14
2	0
0	0
10	0
0	171
2	95
4	166
1	168
1	3
0	169
0	2
3	22
104	1670
21	1857
13	1376
0	925
1	1
1	81
7	157
