UniqueCount	AmbigCount
0	12
0	2
6	663
0	0
0	11
0	13
0	0
0	2
0	2
0	0
0	0
0	0
0	2
19	66
0	14
12	5
0	11
0	1
0	34
1	7
8	59
3	4
0	31
596	85
0	66
48	778
61	34
5	6
33	83
0	0
0	0
0	2
21	667
4	88
0	112
2	85
0	69
0	42
117	56
1	1
0	9
0	0
0	0
0	0
0	0
0	3
6	9
0	66
32	82
30	97
0	21
14	1
0	233
0	109
0	184
15	180
2	91
2	57
6	72
0	90
0	61
28	33
0	76
14	61
1	52
1	50
0	62
14	91
0	0
0	15
0	62
0	5
19	79
0	18
1	6
0	61
0	12
0	12
1	10
0	15
0	11
1	102
0	61
0	3
2	47
0	73
0	59
0	27
0	1
0	0
8	1196
3175	20537
781	31930
0	0
14	391
0	10
1488	3735
7	565
0	0
0	6
222	1290
20	13
0	0
1	0
0	134
0	40
0	22
0	23
0	24
0	6
0	13
3	5
0	8
0	7
0	14
0	4
0	22
0	22
0	24
0	11
0	8
12	17
0	11
26	11
0	4
0	0
4	0
0	9
0	19
0	24
0	17
0	17
0	0
0	26
13	45
2	52
19	52
0	0
17	40
0	40
0	0
186	6
0	12
0	631
1	663
591	2061
174	250
2	2187
90	52
0	1315
0	2127
82	24
3	710
0	2148
0	736
0	1587
17	2
0	568
2	531
1	29
0	609
0	758
0	778
0	674
0	40
17	289
2	447
0	454
3	756
0	1191
0	1212
0	1328
0	609
0	612
0	691
0	669
0	53
0	766
0	1311
0	637
3	52
0	12
0	149
0	44
0	446
16	9
3	22
14	22
1	32
0	17
0	27
4	0
0	0
3	0
25	0
0	0
96	23
0	18
0	5
0	128
0	127
0	7
2	114
0	50
0	48
0	53
0	31
0	43
0	104
0	39
0	0
0	9
0	1
0	1
107	1018
2	419
51	897
0	0
19	362
11	9
105	15
13	2
3	12
0	1
0	2
0	2
0	2
0	0
0	0
1	1
0	1
0	0
0	1
54	0
43	125
14	88
64	101
4	51
5	12
1	1
7	12
0	2
0	0
3	1341
0	1463
0	1468
0	1346
3	19
3	34
18	40
1	7
6	21
155	482
0	28
0	138
0	156
0	60
0	146
1	152
0	152
0	145
0	138
36	64
6	71
6	0
2	0
0	0
0	40
0	41
1	54
0	48
9	32
0	44
0	43
0	7
0	23
3	24
0	18
0	19
0	7
0	6
0	6
0	5
0	5
3	4
0	1
0	0
0	0
0	0
