UniqueCount	AmbigCount
0	10
0	0
0	117
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	5
1	0
0	0
0	0
0	0
0	0
1	8
0	1
0	0
31	4
0	4
8	30
7	22
0	0
33	34
0	0
0	0
0	0
4	107
0	24
0	47
0	23
0	34
0	11
64	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	1
0	0
0	0
0	2
0	5
0	0
0	12
7	15
0	0
0	0
0	0
0	10
0	0
0	10
0	12
2	2
0	0
0	1
0	7
0	2
0	0
0	12
0	0
0	0
0	6
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	204
1133	4586
478	10318
1	0
0	22
0	1
721	473
0	123
0	0
0	0
18	61
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	18
0	0
0	0
0	0
0	0
0	7
0	1
1	2
0	6
0	6
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	18
0	2
2	4
0	0
17	3
0	3
4	0
71	0
0	0
0	108
0	111
212	511
50	118
0	591
18	10
0	356
0	503
31	4
0	124
0	514
2	120
0	438
0	1
0	102
0	74
0	4
0	102
0	130
0	135
0	116
0	14
9	64
0	72
0	65
0	121
0	329
0	330
0	341
0	103
0	107
0	116
0	127
0	14
0	136
0	345
0	101
0	14
0	13
0	66
0	14
0	72
10	1
2	0
14	0
15	5
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	1
0	4
0	4
0	4
0	4
0	4
0	4
0	3
0	3
0	0
0	3
0	0
0	0
60	187
0	78
7	191
0	0
0	22
3	0
7	11
3	1
0	10
0	0
4	0
0	0
0	0
0	0
0	0
177	1735
0	1471
0	233
0	1557
3	0
0	8
0	8
0	8
0	7
0	17
0	16
8	17
0	0
0	0
0	156
0	149
0	134
0	141
0	6
0	12
0	1
0	0
0	0
1	46
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	10
0	10
0	10
0	10
0	0
0	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	6
0	3
0	2
0	8
0	2
0	1
0	2
0	2
0	0
0	3
0	3
0	0
0	163
0	149
0	129
15	101
1	86
0	16
0	35
92	0
0	2
0	1
0	1
8	1
0	0
0	0
0	171
0	186
0	171
6	116
0	85
1	61
1	48
0	1
0	39
0	43
0	0
0	7
0	18
0	7
0	6
0	2
0	3
0	0
2	5
8	0
0	0
0	0
0	14
0	11
0	14
0	14
0	0
0	14
0	0
0	4
26	188
0	171
11	79
0	113
0	1
0	17
4	22
0	1
12	68
0	32
7	25
0	19
0	0
0	0
1	27
0	5
0	0
0	17
0	10
0	224
0	305
0	307
0	251
0	87
0	267
0	318
0	255
31	181
4	116
0	209
0	305
0	255
0	228
0	241
0	256
0	68
0	30
0	22
0	146
0	37
0	31
0	47
1	13
0	47
0	74
0	0
0	7
0	67
0	18
4	27
0	54
0	48
6	48
0	0
0	0
0	17
0	50
0	11
0	10
0	2
0	27
0	2
0	2
0	0
1	10
0	0
0	0
0	0
0	0
8	0
5	72
82	78
0	6
0	0
20	1151
54	1055
0	116
0	233
28	36
0	19
6	40
0	0
0	106
0	192
0	253
0	194
0	240
0	32
0	31
2	43
0	0
0	0
0	234
8	222
32	223
58	214
3	3
0	4
0	0
0	170
2	259
2	193
6	100
0	638
0	265
0	334
0	427
0	148
0	214
0	39
0	49
0	35
0	83
0	232
7	10
0	16
3	0
0	1
0	39
0	39
0	30
0	43
0	30
0	43
0	26
0	26
0	26
0	0
0	26
0	39
0	39
0	14
238	334
1	228
0	240
3	8
14	116
7	18
0	0
10	0
0	21
0	17
0	17
0	12
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	65
10	71
2	1
0	0
0	0
0	0
0	34
0	24
24	31
0	0
13	30
1	13
0	0
0	0
0	0
0	90
3	69
0	89
0	70
0	85
0	0
0	5
0	10
18	2
0	2
0	0
153	301
17	230
0	71
76	11
0	0
7	0
0	0
15	0
9	0
70	0
4	252
0	229
0	279
0	259
0	228
0	248
0	248
47	49
0	22
1	238
1	19
0	211
4	50
0	2
0	70
0	268
0	162
0	30
0	226
0	195
0	0
0	8
0	177
0	11
0	2
0	4
1	24
0	31
0	28
0	44
0	11
0	11
0	0
0	2
0	0
0	2
0	2
0	0
0	0
0	2
0	2
0	0
17	213
0	208
0	183
0	187
0	187
0	176
0	176
0	176
0	10
0	0
0	80
17	495
0	500
17	143
1	92
0	0
0	0
0	2
24	103
0	92
0	47
0	50
0	73
0	75
0	84
0	84
0	83
0	76
1	0
0	9
0	14
0	0
1	9
0	9
0	0
0	0
0	0
0	11
8	0
0	0
2	0
47	85
1	0
2	0
0	0
0	0
0	65
2	18
0	59
0	44
3	163
0	147
0	123
0	60
0	0
0	34
0	10
0	5
1	14
0	3
0	4
0	10
0	24
0	23
3	23
0	17
0	0
0	899
0	964
13	992
0	905
0	916
0	969
0	899
0	750
0	960
0	915
0	581
0	922
0	959
4	949
0	953
0	934
0	931
0	855
0	838
0	779
0	820
0	761
0	408
0	364
5	115
4	255
0	107
0	45
0	4
0	10
0	0
0	4
0	0
0	0
0	4
3	0
40	383
162	384
100	272
13	67
11	382
77	385
0	11
119	139
59	74
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	7
3	9
0	18
0	16
0	13
8	18
0	9
0	18
0	14
0	14
0	13
0	7
0	26
0	0
0	0
0	0
0	2
395	5
0	0
0	2
0	3
0	0
0	0
0	15
0	11
0	15
0	0
14	1
0	1
5	5
0	5
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	510
0	13
0	691
0	181
0	0
0	357
0	140
24	250
0	54
2	99
0	110
0	69
0	79
0	25
0	16
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	238
0	225
0	128
0	20
1	2
0	0
0	1
0	16
0	30
0	2
3	0
0	2
0	0
0	0
0	0
0	9
0	0
5	0
0	9
4	9
0	0
0	5
0	6
0	6
0	6
0	5
0	31
0	34
0	2
0	6
3	5
11	33
0	45
0	9
0	17
0	0
0	3
0	0
0	0
0	0
0	4
0	4
0	8
0	10
0	10
0	8
0	6
0	8
0	6
0	4
0	4
0	4
0	10
0	4
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	22
0	0
0	0
0	22
0	2
0	0
0	0
0	0
0	0
0	1
0	1
0	2
0	2
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	97
0	111
3	75
3	8
0	66
0	6
1	12
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
83	479
1	479
0	32
4	32
7	2
0	21
0	1
0	2
0	2
0	22
0	13
0	0
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	51
0	7
0	73
0	77
0	88
0	170
0	61
0	7
0	95
0	1
0	121
3	138
0	142
0	142
0	73
0	100
0	79
0	74
0	88
0	131
0	94
0	31
0	23
0	10
0	68
0	63
0	8
0	72
0	1
0	0
1	0
0	0
0	0
0	2
0	0
0	2
0	0
771	90
0	90
0	6
0	0
0	0
5	348
0	408
0	428
8	417
0	396
0	428
0	428
6	414
0	386
0	418
4	391
0	421
0	407
0	307
0	327
0	338
0	10
2	188
0	74
0	188
0	4
0	22
0	120
0	81
0	58
8	55
0	10
0	37
0	38
0	28
0	37
0	37
0	38
0	29
0	29
0	2
0	5
3	124
2	125
0	126
0	124
0	125
0	122
0	122
0	122
0	122
0	25
0	0
0	1
0	13
0	6
0	6
0	1
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
39	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	11
0	13
0	28
0	30
0	30
0	19
0	0
0	0
0	0
0	20
0	0
0	0
0	2
0	20
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	20
0	2
0	0
0	3
0	20
0	0
0	8
0	22
0	2
0	22
0	4
0	2
0	5
0	21
0	2
0	2
2	19
0	2
0	0
0	20
0	20
0	3
0	3
0	0
0	0
0	20
0	0
0	3
0	10
0	0
0	0
0	0
0	18
0	17
0	18
0	0
0	0
0	0
0	0
0	0
0	0
0	159
1614	2157
9	2110
0	2019
1	998
0	667
0	163
0	161
0	0
2	3
2	23
0	9
4	0
4	14
0	0
0	0
0	2
0	0
508	524
0	2
7	522
10	171
0	0
0	0
0	0
0	0
23	0
0	10
0	19
0	10
0	10
0	10
0	10
0	10
0	19
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
