UniqueCount	AmbigCount
1	8
0	0
0	511
0	0
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	26
0	0
0	0
0	7
0	0
0	9
4	1
2	5
1	0
0	19
133	10
5	9
20	117
11	12
0	0
38	38
0	0
0	0
0	0
6	437
4	70
2	89
0	69
0	52
0	33
40	39
0	0
0	24
0	2
0	0
0	2
0	0
0	0
0	0
0	1
4	3
5	5
0	1
2	0
0	35
0	13
0	55
1	42
0	9
1	6
5	6
0	46
0	6
5	22
0	42
7	12
0	3
0	7
0	36
5	4
0	0
0	9
0	5
0	1
0	6
0	1
0	1
0	1
0	0
0	0
4	0
0	0
0	0
0	6
0	1
0	0
2	1
0	1
0	1
0	1
0	0
0	0
0	100
16	1491
212	8601
4	0
0	18
0	0
84	96
1	68
0	0
0	1
83	257
13	19
0	0
0	0
0	1
0	14
0	10
0	11
0	10
0	10
0	7
2	5
0	10
0	10
0	33
0	10
0	11
0	11
0	8
0	3
0	1
8	6
0	6
5	6
0	18
0	0
0	0
0	0
0	3
0	6
0	2
0	2
0	1
0	1
11	30
0	15
9	19
0	0
19	30
0	19
2	0
104	4
2	1
0	70
0	67
69	260
62	164
1	426
32	6
0	213
0	279
59	6
0	96
0	262
0	81
0	236
2	0
0	76
0	42
0	6
0	79
0	83
0	85
0	73
0	37
13	46
0	35
0	41
0	75
0	198
0	202
0	207
0	83
0	67
0	83
1	71
0	39
0	83
0	213
0	70
0	39
0	10
0	103
0	39
0	35
6	1
0	2
0	2
2	5
0	1
0	5
1	0
0	0
0	0
0	0
0	0
38	9
0	6
0	3
0	50
0	52
0	2
0	43
0	29
0	32
0	34
0	27
0	26
0	41
5	24
0	0
0	11
1	0
0	5
76	495
9	185
12	498
0	0
1	91
0	3
38	2
3	0
3	2
1	0
11	11
0	6
1	10
0	0
0	0
86	743
0	608
0	168
0	598
6	0
8	71
6	59
30	66
7	43
0	361
0	213
207	361
0	0
0	0
0	874
0	811
0	720
0	783
0	53
0	31
0	11
0	0
1	13
11	232
0	9
0	3
0	3
0	3
0	3
3	3
0	3
0	3
0	3
0	3
0	3
0	0
0	0
3	0
0	43
0	33
0	38
0	47
2	26
0	44
7	54
0	13
2	29
0	9
0	13
0	13
0	4
0	4
0	0
0	8
0	5
1	12
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	24
9	42
3	19
0	20
0	76
0	75
0	63
0	99
1	65
0	85
0	42
0	77
0	42
0	46
0	59
0	73
0	76
0	9
1	767
0	694
0	633
12	346
0	263
0	144
0	165
333	0
4	1
2	1
1	1
0	0
2	0
6	0
2	346
6	378
0	356
3	240
0	221
1	176
0	163
4	29
0	136
3	99
0	14
0	31
0	45
0	29
0	26
1	0
0	8
0	9
10	23
7	0
0	0
8	0
0	24
0	15
7	24
0	24
0	0
0	23
0	0
2	5
