"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"1","ENSG00000000003.15",309.244839468813,-0.719414138279364,0.226988919944836,-3.16937997878575,0.00152764536221083,0.00364334785361563,"ENSG00000000003","TSPAN6"
"2","ENSG00000000419.14",870.780343528851,0.128876327583199,0.149522797954071,0.861917576092888,0.388732876337471,0.477451922688846,"ENSG00000000419","DPM1"
"3","ENSG00000000457.14",259.453608282527,0.63014120438452,0.233508851206328,2.69857524084913,0.0069636994292068,0.0143840138006686,"ENSG00000000457","SCYL3"
"4","ENSG00000000460.17",460.173678258242,0.432715828020634,0.183613644145206,2.35666488748751,0.0184398791396947,0.0346809903160453,"ENSG00000000460","C1orf112"
"5","ENSG00000000971.17",1049.62323044265,-0.96198932889192,0.150905509099064,-6.37477938767902,1.832265093454e-10,1.05510919361978e-09,"ENSG00000000971","CFH"
"6","ENSG00000001036.14",2823.0012547788,-0.183279116570149,0.0925674285437708,-1.97995255408315,0.0477088602548011,0.0803748394440254,"ENSG00000001036","FUCA2"
"7","ENSG00000001084.13",2513.77801443046,-0.774937000553163,0.0996366344579875,-7.77763123743326,7.38950961441553e-15,6.03188949036561e-14,"ENSG00000001084","GCLC"
"8","ENSG00000001167.15",979.646457187418,-0.430043745955417,0.132251419215019,-3.2517136565184,0.00114711523466732,0.0028015264619534,"ENSG00000001167","NFYA"
"9","ENSG00000001497.18",935.020581267182,-0.0562251023033484,0.145846667342921,-0.38550831038977,0.699860850588725,0.766331527673917,"ENSG00000001497","LAS1L"
"10","ENSG00000001617.12",638.003170413355,-0.26712074348805,0.157881947514799,-1.691901751231,0.0906647080451389,0.139636886113316,"ENSG00000001617","SEMA3F"
"11","ENSG00000001626.18",116.268995730901,0.764127941429181,0.349339484155062,2.1873506319429,0.0287169371648481,0.0513744214228918,"ENSG00000001626","CFTR"
"12","ENSG00000001629.10",2878.04371733944,0.402767611718095,0.104378931953892,3.85870600684065,0.000113988960559557,0.000332309318544714,"ENSG00000001629","ANKIB1"
"13","ENSG00000001630.18",1605.34448911084,-0.0160854927175715,0.123311058463631,-0.130446473479227,0.896213200155275,0.923974575213094,"ENSG00000001630","CYP51A1"
"14","ENSG00000001631.17",1043.10337395094,-0.049488063814269,0.129558798992535,-0.381973777150562,0.702480815329428,0.768387908485028,"ENSG00000001631","KRIT1"
"15","ENSG00000002016.18",167.239288857425,-0.0104711417483591,0.286786349327765,-0.0365119949847812,0.970874114472734,0.980518849647664,"ENSG00000002016","RAD52"
"16","ENSG00000002330.14",729.503735361565,-0.309066205541941,0.156060676818521,-1.98042333176183,0.0476559803977391,0.080334090963412,"ENSG00000002330","BAD"
"17","ENSG00000002549.13",6972.24938550274,1.82395949560991,0.388831960350267,4.69086824541597,2.72048121431596e-06,1.00705532670293e-05,"ENSG00000002549","LAP3"
"18","ENSG00000002586.20",6696.87478693561,-1.32747896282842,0.075699456255014,-17.5361756675827,7.58641985209568e-69,3.80443646663614e-67,"ENSG00000002586","CD99"
"19","ENSG00000002746.15",949.998277566478,-1.33337360231682,0.137750866577737,-9.67960228086371,3.68145328669139e-22,4.55416948064932e-21,"ENSG00000002746","HECW1"
"20","ENSG00000002822.16",1275.2452511181,0.18946217168837,0.130110480617697,1.45616379855721,0.145347344439818,0.209677419100939,"ENSG00000002822","MAD1L1"
"21","ENSG00000002834.18",4784.26828434829,-0.635254202308306,0.0811026680836629,-7.83271644840338,4.77440262337293e-15,3.94912311665528e-14,"ENSG00000002834","LASP1"
"22","ENSG00000002919.15",569.556712451708,0.772612672637565,0.202904416780408,3.80776665632528,0.000140227496015508,0.00040229966340211,"ENSG00000002919","SNX11"
"23","ENSG00000002933.9",460.726237364637,1.11492130820099,0.183820864921171,6.06525983151646,1.31740496690804e-09,6.99883123274709e-09,"ENSG00000002933","TMEM176A"
"24","ENSG00000003056.8",4598.16122079757,-0.193501895253523,0.0806051662526348,-2.40061405800026,0.016367589026172,0.0311555315880308,"ENSG00000003056","M6PR"
"25","ENSG00000003096.15",264.151267565929,-0.593651701984282,0.271914626598734,-2.183228277971,0.0290190032901301,0.0518733238161005,"ENSG00000003096","KLHL13"
"26","ENSG00000003137.9",265.464747369876,-0.163908856231854,0.235247614998726,-0.696750342113954,0.485959047774891,0.572412053008912,"ENSG00000003137","CYP26B1"
"27","ENSG00000003249.15",90.319349679032,1.28808650434096,0.397688783877748,3.23893093433816,0.00119978622578305,0.00291488363305059,"ENSG00000003249","DBNDD1"
"28","ENSG00000003393.16",1602.43312964158,-0.0135002636204397,0.120848297895691,-0.111712484623427,0.911051379999176,0.935839829988149,"ENSG00000003393","ALS2"
"29","ENSG00000003402.21",1928.85998388693,1.43490749533467,0.106530155029871,13.4694959838585,2.36474684276867e-41,5.9426885264454e-40,"ENSG00000003402","CFLAR"
"30","ENSG00000003436.16",3555.91282984004,1.28756803820107,0.0890211135022293,14.46362539791,2.05672912025678e-47,6.11712812548712e-46,"ENSG00000003436","TFPI"
"31","ENSG00000003509.16",247.542202684792,-0.177009226885423,0.246328338924136,-0.718590591965702,0.472393211797918,0.559235410759076,"ENSG00000003509","NDUFAF7"
"32","ENSG00000003756.17",1559.25897585579,0.104393095887704,0.143157859933003,0.729216655910894,0.465869144334449,0.552823124004646,"ENSG00000003756","RBM5"
"33","ENSG00000004059.11",1968.14847739578,-0.785618730832198,0.106862867129869,-7.35165312266465,1.95770321671909e-13,1.43749146898027e-12,"ENSG00000004059","ARF5"
"34","ENSG00000004139.14",811.694642397786,-0.251660998023165,0.151590048925539,-1.66014194076012,0.096885901286136,0.148056167543435,"ENSG00000004139","SARM1"
"35","ENSG00000004142.12",3394.52805466535,-0.366027327826357,0.0867329735733525,-4.22016348277045,2.44125219010405e-05,7.90174334064649e-05,"ENSG00000004142","POLDIP2"
"36","ENSG00000004399.13",6668.2985409298,-0.897644258934986,0.0857048515717782,-10.4736691385925,1.14131598236467e-25,1.65542628155436e-24,"ENSG00000004399","PLXND1"
"37","ENSG00000004455.18",3580.96521232472,0.480227767335321,0.0860757275699309,5.57913108483652,2.41723030520026e-08,1.13388785667175e-07,"ENSG00000004455","AK2"
"38","ENSG00000004468.13",79.1413541157538,3.75819560962079,0.581810619808698,6.4594826592483,1.05061523881908e-10,6.14167810544367e-10,"ENSG00000004468","CD38"
"39","ENSG00000004478.8",2743.75294568002,-0.130012419703247,0.096124290503714,-1.35254490849245,0.176201062653924,0.24713456196354,"ENSG00000004478","FKBP4"
"40","ENSG00000004487.18",2690.16004133107,-0.419319192920544,0.0964510139442355,-4.34748351285326,1.37708418711968e-05,4.63434621262697e-05,"ENSG00000004487","KDM1A"
"41","ENSG00000004534.15",816.176988335187,0.0159187310059529,0.140553206250851,0.11325768675488,0.909826262406895,0.935164254825028,"ENSG00000004534","RBM6"
"42","ENSG00000004660.15",158.139693786109,0.511905728931202,0.30162172090505,1.6971779333238,0.0896630257043413,0.138427028505773,"ENSG00000004660","CAMKK1"
"43","ENSG00000004700.16",1899.15190459789,0.0224334548625838,0.108992717990133,0.205825263157623,0.836927406542798,0.878483122523757,"ENSG00000004700","RECQL"
"44","ENSG00000004766.17",777.160695148369,-0.0657420598736161,0.154006245207024,-0.426879181329573,0.669467329801757,0.740519599324733,"ENSG00000004766","VPS50"
"45","ENSG00000004777.19",238.845504113348,-0.5399522531284,0.315303984902271,-1.71248153839781,0.0868079639788397,0.134867110471709,"ENSG00000004777","ARHGAP33"
"46","ENSG00000004779.10",666.367343586524,-0.359375357226096,0.15322443300985,-2.34541809140188,0.0190057540462119,0.0356194649738207,"ENSG00000004779","NDUFAB1"
"47","ENSG00000004799.8",139.352567291912,0.462501629215279,0.332176959022398,1.39233506916443,0.163820956645533,0.232137589667333,"ENSG00000004799","PDK4"
"48","ENSG00000004864.14",1617.10524739263,-0.714585163992221,0.109294350867955,-6.53817107945086,6.22756656288654e-11,3.72621064059712e-10,"ENSG00000004864","SLC25A13"
"49","ENSG00000004866.22",1106.84392602038,-0.0667538079956893,0.129100978249559,-0.51706663187827,0.60510964590774,0.684289733055542,"ENSG00000004866","ST7"
"50","ENSG00000004866.22",1106.84392602038,-0.0667538079956893,0.129100978249559,-0.51706663187827,0.60510964590774,0.684289733055542,"ENSG00000004866","ST7"
"51","ENSG00000004897.12",3835.77384391757,0.0576313467516387,0.0896369777291806,0.64294165434448,0.520261959605567,0.604602462253877,"ENSG00000004897","CDC27"
"52","ENSG00000004961.15",796.248255243522,0.350271948037333,0.151237005267745,2.3160465748262,0.0205557258376595,0.0381661434571719,"ENSG00000004961","HCCS"
"53","ENSG00000004975.12",1544.63732297411,-0.554782744313506,0.116374828825132,-4.76720567423681,1.86798592459106e-06,7.03593351118284e-06,"ENSG00000004975","DVL2"
"54","ENSG00000005007.14",4384.92969319866,0.210801477519057,0.0829345077546484,2.54178246457659,0.0110288791172678,0.0218119329132229,"ENSG00000005007","UPF1"
"55","ENSG00000005020.13",279.414451830993,-1.56985812394493,0.237804834973478,-6.60145587081952,4.07139465832611e-11,2.48257396205348e-10,"ENSG00000005020","SKAP2"
"56","ENSG00000005022.6",5134.91879493073,-0.133996009560804,0.0787235288074816,-1.70210877980954,0.0887349783644578,0.137250797102314,"ENSG00000005022","SLC25A5"
"57","ENSG00000005059.16",561.259547652821,0.185453142546768,0.201935067759026,0.918380074371595,0.358419918727334,0.446547454448281,"ENSG00000005059","MCUB"
"58","ENSG00000005073.6",207.537667292543,0.643339953774492,0.272463582565822,2.36119611918805,0.0182160942956426,0.0342947108599615,"ENSG00000005073","HOXA11"
"59","ENSG00000005075.16",1524.76230047519,-0.94688527120517,0.11140531934037,-8.49946193603387,1.9047150049064e-17,1.82522946871194e-16,"ENSG00000005075","POLR2J"
"60","ENSG00000005100.13",1045.04571699671,0.0370007966907723,0.127155396707915,0.290988803060917,0.771059883017486,0.825935121818443,"ENSG00000005100","DHX33"
"61","ENSG00000005156.12",814.631177799147,-0.318908236448819,0.175538031632778,-1.8167472511938,0.0692558230336492,0.110926363360828,"ENSG00000005156","LIG3"
