paste_into_igv_junction,seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd_mean_psi,a5ss,a3ss,es,num_junctions,num_exons,de_novo_junctions,lsv_junc,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat,pathological_splicing
chr22:45808275-45809619,chr22,45808275,45809619,1345,+,ATXN10,ENSG00000130638.17,ENSG00000130638.17:t:45809619-45809692,0.13273818,0.49665,0.023148302,0.001,0.134,FALSE,FALSE,FALSE,2,2,0,ENSG00000130638.17:t:45809619-45809692_45808275-45809619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr11:113329808-113329920,chr11,113329808,113329920,113,+,TTC12,ENSG00000149292.17,ENSG00000149292.17:t:113329920-113329979,0.100087701,0.49757,7.34E-05,0.047,0.153,FALSE,FALSE,TRUE,2,3,1,ENSG00000149292.17:t:113329920-113329979_113329808-113329920,+,ENST00000464224.5,ENSE00001945294.1,7,ENSG00000149292.17,+,ENST00000442859.5|ENST00000531164.5|ENST00000529221.6|ENST00000464224.5|ENST00000494714.5|ENST00000393020.5|ENST00000455306.5|ENST00000314756.7|ENST00000483239.6|ENST00000527362.5,ENSE00003618477.1|ENSE00003516219.1|ENSE00001697008.1,8|6|7|2,ENSG00000149292.17,ENSG00000149292.17,TRUE,annotated,Y
chr4:884391-885782,chr4,884391,885782,1392,-,GAK,ENSG00000178950.17,ENSG00000178950.17:s:885783-888970,0.100240654,0.51408,0.000306032,0.043,0.136,FALSE,FALSE,FALSE,2,2,0,ENSG00000178950.17:s:885783-888970_884391-885782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr9:41015187-41032833,chr9,41015187,41032833,17647,+,FRG1HP,ENSG00000276291.5,ENSG00000276291.5:s:41015024-41015186,0.101171445,0.51865,0.000422754,0.044,0.146,TRUE,FALSE,TRUE,5,5,0,ENSG00000276291.5:s:41015024-41015186_41015187-41032833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr17:82134194-82157748,chr17,82134194,82157748,23555,-,CCDC57,ENSG00000176155.19,ENSG00000176155.19:t:82134073-82134343,0.10159879,0.52105,4.00E-05,0.045,0.143,FALSE,FALSE,TRUE,2,3,0,ENSG00000176155.19:t:82134073-82134343_82134194-82157748,-,ENST00000665763.1|ENST00000392346.6|ENST00000419322.6,ENSE00001246994.1,17|2|5,ENSG00000176155.19,-,ENST00000389641.9|ENST00000392347.5|ENST00000665763.1|ENST00000419322.6,ENSE00002882564.1,14|15|3,ENSG00000176155.19,ENSG00000176155.19,FALSE,novel_exon_skip,Y
chr12:39370261-39386971,chr12,39370261,39386971,16711,-,KIF21A,ENSG00000139116.19,ENSG00000139116.19:t:39370039-39370261,0.10014134,0.52402,6.50E-06,0.001,0.113,TRUE,FALSE,TRUE,5,5,0,ENSG00000139116.19:t:39370039-39370261_39370261-39386971,-,ENST00000361418.10|ENST00000636569.1|ENST00000361961.7|ENST00000544797.6|ENST00000541463.6,ENSE00001098344.5,2,ENSG00000139116.19,NA,NA,NA,NA,NA,ENSG00000139116.19,FALSE,novel_donor,Y
chr7:122044568-122047674,chr7,122044568,122047674,3107,+,PTPRZ1,ENSG00000106278.12,ENSG00000106278.12:s:122044422-122044568,0.103352243,0.52446,6.85E-05,0.048,0.158,FALSE,FALSE,TRUE,2,3,1,ENSG00000106278.12:s:122044422-122044568_122044568-122047674,+,ENST00000651065.1|ENST00000650826.1|ENST00000650728.1|ENST00000652054.1|ENST00000393386.7|ENST00000651390.1|ENST00000651842.1|ENST00000650681.1|ENST00000651863.1|ENST00000652298.1|ENST00000449182.1|ENST00000651320.1|ENST00000652708.1|ENST00000651841.1,ENSE00000719430.1|ENSE00003843067.1,23|24|22|10|11,ENSG00000106278.12,+,ENST00000651065.1|ENST00000650728.1|ENST00000651390.1|ENST00000651842.1|ENST00000651863.1|ENST00000651320.1|ENST00000652708.1|ENST00000651841.1,ENSE00003850125.1,24|23|25|11|12,ENSG00000106278.12,ENSG00000106278.12,TRUE,annotated,Y
chr5:141187353-141188538,chr5,141187353,141188538,1186,+,CH17-140K24.5,ENSG00000279068.1,ENSG00000279068.1:s:141187019-141187418,0.100987152,0.52463,0.000484858,0.033,0.139,FALSE,FALSE,FALSE,2,2,1,ENSG00000279068.1:s:141187019-141187418_141187353-141188538,+,ENST00000623407.1|ENST00000623266.1|ENST00000624909.1,ENSE00003759025.1|ENSE00003758797.1|ENSE00003756839.1,2|1,ENSG00000279068.1|ENSG00000177839.7,+,ENST00000623407.1|ENST00000623266.1,ENSE00003757420.1|ENSE00003757936.1,3|2,ENSG00000279068.1|ENSG00000177839.7,ENSG00000279068.1|ENSG00000177839.7,TRUE,annotated,
chr4:77032553-77034497,chr4,77032553,77034497,1945,+,SEPTIN11,ENSG00000138758.12,ENSG00000138758.12:t:77034497-77034821,0.100392835,0.52671,6.32E-05,0.001,0.112,FALSE,FALSE,TRUE,5,5,0,ENSG00000138758.12:t:77034497-77034821_77032553-77034497,NA,NA,NA,NA,NA,+,ENST00000264893.11|ENST00000512575.5|ENST00000510515.5,ENSE00001140709.6|ENSE00002034298.1|ENSE00002044465.1,10|4|12,ENSG00000138758.12,ENSG00000138758.12,FALSE,novel_donor,Y
chr11:64305736-64313951,chr11,64305736,64313951,8216,+,ESRRA,ENSG00000173153.17,ENSG00000173153.17:s:64305497-64305736,0.101000177,0.53115,7.18E-06,0.027,0.124,FALSE,FALSE,TRUE,2,3,1,ENSG00000173153.17:s:64305497-64305736_64305736-64313951,+,ENST00000406310.6|ENST00000677967.1|ENST00000000442.11|ENST00000539594.5,ENSE00002068405.2|ENSE00001884684.2|ENSE00002246556.1,1,ENSG00000173153.17,+,ENST00000406310.6|ENST00000677967.1|ENST00000000442.11|ENST00000539594.5|ENST00000405666.5,ENSE00003589560.1|ENSE00003558913.1,3|2,ENSG00000173153.17,ENSG00000173153.17,TRUE,annotated,Y
chr11:119055571-119056070,chr11,119055571,119056070,500,-,HYOU1,ENSG00000149428.19,ENSG00000149428.19:s:119056070-119056167,0.101444759,0.53563,6.35E-06,0.027,0.125,FALSE,FALSE,TRUE,2,3,1,ENSG00000149428.19:s:119056070-119056167_119055571-119056070,-,ENST00000617285.5|ENST00000614711.4|ENST00000614668.4|ENST00000612687.4|ENST00000652093.1|ENST00000532519.6|ENST00000621959.4|ENST00000543287.5|ENST00000530473.5|ENST00000534233.5|ENST00000526656.5|ENST00000531968.5|ENST00000532421.5|ENST00000533381.5|ENST00000527038.6|ENST00000622474.4|ENST00000530467.5|ENST00000610597.1,ENSE00003714705.1|ENSE00003476419.1|ENSE00003490774.1,4|5|3,ENSG00000149428.19,-,ENST00000617285.5|ENST00000614711.4|ENST00000614668.4|ENST00000612687.4|ENST00000652093.1|ENST00000532519.6|ENST00000621959.4|ENST00000543287.5|ENST00000530473.5|ENST00000534233.5|ENST00000526656.5|ENST00000531968.5|ENST00000532421.5|ENST00000533381.5|ENST00000527038.6|ENST00000622474.4|ENST00000530467.5|ENST00000610597.1|ENST00000526354.1,ENSE00003564540.1|ENSE00003583010.1,2|3,ENSG00000149428.19,ENSG00000149428.19,TRUE,annotated,Y
chr19:3225618-3226220,chr19,3225618,3226220,603,+,CELF5,ENSG00000161082.13,ENSG00000161082.13:s:3225485-3225618,0.101450851,0.53804,2.93E-06,0,0.121,FALSE,FALSE,TRUE,3,4,0,ENSG00000161082.13:s:3225485-3225618_3225618-3226220,+,ENST00000334293.10,ENSE00002231262.1,1,ENSG00000161082.13,NA,NA,NA,NA,NA,ENSG00000161082.13,FALSE,novel_acceptor,
chr1:1022462-1031785,chr1,1022462,1031785,9324,+,AGRN,ENSG00000188157.15,ENSG00000188157.15:s:1022201-1022462,0.102017444,0.54403,1.70E-05,0.008,0.121,FALSE,FALSE,TRUE,3,3,0,ENSG00000188157.15:s:1022201-1022462_1022462-1031785,+,ENST00000379370.7|ENST00000620552.4,ENSE00001673004.1|ENSE00003721289.1,2,ENSG00000188157.15,NA,NA,NA,NA,NA,ENSG00000188157.15,FALSE,novel_acceptor,Y
