V1	V2	V3	V4	V5	V6	V7
chr7	100650135	100650575	NA	NA	-	ACTL6B
chr7	100650643	100655019	NA	NA	-	ACTL6B
chr10	48583510	48604763	NA	NA	-	ARHGAP22
chr10	48583152	48583378	NA	NA	-	ARHGAP22
chr3	48650289	48650480	NA	NA	-	CELSR3
chr3	48649215	48650275	NA	NA	-	CELSR3
chr9	128250940	128253047	NA	NA	+	DNM1
chr9	128252801	128253046	NA	NA	+	DNM1
chr19	51320670	51322064	NA	NA	+	IGLON5
chr7	122031559	122034095	NA	NA	+	PTPRZ1
chr7	122044568	122047674	NA	NA	+	PTPRZ1
chr20	19681991	19683910	NA	NA	+	SLC24A3
chr20	19683960	19684176	NA	NA	+	SLC24A3
chr8	79611214	79616822	NA	NA	+	STMN2
