seqnames	start	end	width	strand	gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	control_mean_psi	tdp43kd_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	lsv_junc	ir_start	ir_end	paste_into_igv_junction	junc_dist	strand_start	transcript_id_start	exon_name_start	exon_rank_start	gene_id_start	strand_end	transcript_id_end	exon_name_end	exon_rank_end	gene_id_end	gene_id_junc	junc_in_ref	junc_cat
chr4	17604668	17606828	2161	+	LAP3	ENSG00000002549.13	ENSG00000002549.13:s:17604588-17604667	0.1244	0.7418	8.203e-05	0.0128	0.149	s|1e1.1o1|i	2	2	1	ENSG00000002549.13:s:17604588-17604667_17604668-17606828	NA	NA	chr4:17604668-17606828	2160												FALSE	none
chr4	6605330	6609106	3777	+	MAN2B2	ENSG00000013288.9	ENSG00000013288.9:s:6605055-6605329	0.1459	0.779	0.01384	0.0057	0.1826	s|1e1.1o1|i	2	2	1	ENSG00000013288.9:s:6605055-6605329_6605330-6609106	NA	NA	chr4:6605330-6609106	3776												FALSE	none
chr11	65289873	65294152	4280	+	POLA2	ENSG00000014138.9	ENSG00000014138.9:s:65289799-65289872	0.1591	0.8178	0.009996	0.0202	0.1976	s|1e1.1o1|i	2	2	1	ENSG00000014138.9:s:65289799-65289872_65289873-65294152	NA	NA	chr11:65289873-65294152	4279												FALSE	none
chr11	123560652	123577367	16716	+	GRAMD1B	ENSG00000023171.20	ENSG00000023171.20:t:123577367-123577577	0.1356	0.7829	0.009419	0.0097	0.1641	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2	6	6	0	ENSG00000023171.20:t:123577367-123577577_123560652-123577367	NA	NA	chr11:123560652-123577367	16715	+	ENST00000534764.1	ENSE00002146884.1	1	ENSG00000023171.20	+	ENST00000638157.1|ENST00000635736.2|ENST00000633646.1|ENST00000633087.1|ENST00000638086.1|ENST00000632815.1|ENST00000456860.6|ENST00000529750.5|ENST00000532581.5|ENST00000529432.5|ENST00000534764.1	ENSE00003476656.1|ENSE00003512472.1|ENSE00003510780.1	3|2	ENSG00000023171.20	ENSG00000023171.20	TRUE	annotated
chr16	12170735	12199601	28867	+	SNX29	ENSG00000048471.14	ENSG00000048471.14:t:12199601-12199683	0.3031	1	2.564e-10	0.003	0.3235	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000048471.14:t:12199601-12199683_12170735-12199601	NA	NA	chr16:12170735-12199601	28866						+	ENST00000566228.6|ENST00000564791.5	ENSE00001161770.1	14|2	ENSG00000048471.14	ENSG00000048471.14	FALSE	novel_donor
chr16	12170739	12199601	28863	+	SNX29	ENSG00000048471.14	ENSG00000048471.14:t:12199601-12199683	0.1418	0.804	0.01057	0.003	0.1737	t|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000048471.14:t:12199601-12199683_12170739-12199601	NA	NA	chr16:12170739-12199601	28862						+	ENST00000566228.6|ENST00000564791.5	ENSE00001161770.1	14|2	ENSG00000048471.14	ENSG00000048471.14	FALSE	novel_donor
chr11	125981314	125983872	2559	-	CDON	ENSG00000064309.16	ENSG00000064309.16:s:125982027-125984093	0.3632	1	2.243e-20	0.0124	0.3783	s|1e1.1o2|1e1.2o2	2	2	1	ENSG00000064309.16:s:125982027-125984093_125981314-125983872	NA	NA	chr11:125981314-125983872	2558						-	ENST00000392693.7|ENST00000684078.1|ENST00000531738.6|ENST00000683716.1|ENST00000680589.1|ENST00000683981.1|ENST00000263577.11	ENSE00000991240.1|ENSE00003914784.1	16|17|7|3	ENSG00000064309.16	ENSG00000064309.16	FALSE	novel_acceptor
chr10	132749845	132754244	4400	+	INPP5A	ENSG00000068383.19	ENSG00000068383.19:s:132749771-132749845	0.482	1	1.841e-20	0.0052	0.4986	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	1	ENSG00000068383.19:s:132749771-132749845_132749845-132754244	NA	NA	chr10:132749845-132754244	4399	+	ENST00000368594.8|ENST00000368593.7|ENST00000498337.1	ENSE00003628163.1|ENSE00003534582.1	11|4	ENSG00000068383.19						ENSG00000068383.19	FALSE	novel_acceptor
chr2	86220121	86227363	7243	-	REEP1	ENSG00000068615.20	ENSG00000068615.20:t:86219970-86220140	0.1104	0.6	0.03995	0.0472	0.1559	t|1e3.2o2|1e4.1o1|1e5.1o1|2e1.1o1|2e2.1o1|i	6	6	0	ENSG00000068615.20:t:86219970-86220140_86220121-86227363	NA	NA	chr2:86220121-86227363	7242	-	ENST00000538924.7|ENST00000644644.1|ENST00000643817.2|ENST00000642243.1	ENSE00003792365.1	8|7	ENSG00000068615.20	-	ENST00000538924.7|ENST00000644644.1|ENST00000642243.1|ENST00000691703.1	ENSE00003798694.1	7	ENSG00000068615.20	ENSG00000068615.20	TRUE	annotated
chr12	9688086	9694760	6675	+	CLEC2D	ENSG00000069493.15	ENSG00000069493.15:t:9694760-9699553	0.1343	0.6973	0.02931	0.0107	0.1792	t|1e1.1o2|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1	5	5	0	ENSG00000069493.15:t:9694760-9699553_9688086-9694760	NA	NA	chr12:9688086-9694760	6674	+	ENST00000261340.11|ENST00000290855.11|ENST00000492359.6|ENST00000479877.5|ENST00000543300.5|ENST00000545918.5|ENST00000261339.10|ENST00000466035.6|ENST00000430909.5|ENST00000544322.1|ENST00000460309.1	ENSE00003507964.1|ENSE00003660580.1|ENSE00001843076.1	3|4|2|1	ENSG00000069493.15	+	ENST00000261340.11|ENST00000325960.11|ENST00000290855.11|ENST00000444971.6|ENST00000479877.5|ENST00000543300.5|ENST00000545918.5|ENST00000261339.10|ENST00000430909.5|ENST00000544322.1|ENST00000460309.1	ENSE00003505951.1|ENSE00001782158.1|ENSE00001490459.5|ENSE00001608886.1|ENSE00003578428.1|ENSE00002241698.1|ENSE00001775829.2|ENSE00001770664.2|ENSE00001817384.1	6|7|5|4|3	ENSG00000069493.15	ENSG00000069493.15	TRUE	annotated
